,nav
2018-11-27,100000.0
2018-11-28,100306.29659312562
2018-11-29,100334.90889387748
2018-11-30,101135.53065497887
2018-12-03,101286.42096944622
2018-12-04,100571.6196186434
2018-12-06,100587.69998070828
2018-12-07,101086.29948998595
2018-12-10,101351.66800469684
2018-12-11,101665.30854424991
2018-12-12,101223.00190419215
2018-12-13,102064.54858691605
2018-12-14,101805.09708854934
2018-12-17,98497.24517761207
2018-12-18,97791.92136005731
2018-12-19,97670.31700585622
2018-12-20,97832.4664576735
2018-12-21,97167.64132976366
2018-12-24,93000.42980977471
2018-12-26,94313.84501029189
2018-12-27,95092.16083208246
2018-12-28,95221.86337728014
2018-12-31,95529.95816425962
2019-01-02,93754.42011992798
2019-01-03,93859.83582679437
2019-01-04,95319.17315849145
2019-01-07,94621.92433512272
2019-01-08,96576.1109613014
2019-01-09,96437.4717975745
2019-01-10,97748.65453207775
2019-01-11,98026.04028276687
2019-01-14,97698.24143963413
2019-01-15,98631.2248765887
2019-01-16,99324.65449873536
2019-01-17,99803.74949032356
2019-01-18,100144.17372311567
2019-01-22,99841.59406423244
2019-01-23,99854.16890178104
2019-01-24,99969.2374879495
2019-01-25,101083.56597445492
2019-01-28,101896.10421579152
2019-01-29,102718.61319680883
2019-01-30,103601.00785817517
2019-01-31,104680.34548557528
2019-02-01,104015.19614033563
2019-02-04,104793.28991508677
2019-02-05,105395.70213958976
2019-02-06,104705.46172009519
2019-02-07,105571.42772030165
2019-02-08,105571.42772030165
2019-02-11,105860.02853979636
2019-02-12,105194.89806475544
2019-02-13,105757.56905457473
2019-02-14,105903.74984602841
2019-02-15,106617.97511147172
2019-02-19,106598.15019201327
2019-02-20,106254.44921768509
2019-02-21,106118.04642483614
2019-02-22,106906.30005130837
2019-02-25,106599.67302160432
2019-02-26,106368.89491537459
2019-02-27,106353.93617446908
2019-02-28,106444.06710120784
2019-03-01,106717.10361037654
2019-03-04,106541.44491993087
2019-03-05,106289.43526501139
2019-03-06,105479.5974246487
2019-03-07,104832.47067753707
2019-03-08,104580.15735067867
2019-03-11,105640.07758180694
2019-03-12,105262.80239131885
2019-03-13,105888.23694160921
2019-03-14,105868.27527171455
2019-03-15,106140.31170712659
2019-03-18,106300.63083094887
2019-03-19,105518.21303906324
2019-03-20,104530.40650642487
2019-03-21,106190.75867472825
2019-03-22,104429.96313238487
2019-03-25,104479.16583100254
2019-03-26,105359.17732953718
2019-03-27,104880.23777822586
2019-03-28,105245.02691377154
2019-03-29,105395.46308102256
