Date,SPY,VAW,VCR,VDC,VDE,VFH,VGT,VHT,VIS,VNQ,VOX,VPU,^VIX
2009-12-16,82.99527740478516,50.51687240600586,38.92932891845703,44.20119094848633,52.54981994628906,20.711013793945312,46.10050582885742,43.138702392578125,40.93466567993164,23.079864501953125,39.562164306640625,38.52814865112305,20.540000915527344
2009-12-17,81.99799346923828,49.378665924072266,38.507530212402344,43.6395263671875,52.1544303894043,20.409812927246094,45.58376693725586,42.71943283081055,40.531375885009766,22.938947677612305,39.317787170410156,38.3191032409668,22.510000228881836
2009-12-18,82.4618911743164,49.44519805908203,38.59024429321289,43.515445709228516,52.34270095825195,20.667985916137695,46.264137268066406,42.866939544677734,40.48484420776367,23.090307235717773,39.62500762939453,38.45267105102539,21.68000030517578
2009-12-21,83.29995727539062,50.02168273925781,39.14436721801758,43.920379638671875,52.9577522277832,20.918977737426758,46.74639892578125,43.363868713378906,40.83384704589844,23.403474807739258,40.07188034057617,38.61524200439453,20.489999771118164
2009-12-22,83.5992431640625,50.331138610839844,39.22533416748047,44.106727600097656,53.19519805908203,21.055234909057617,46.98000717163086,43.61671829223633,40.971439361572266,23.64879035949707,40.60326385498047,38.41537857055664,19.540000915527344
2009-12-23,83.7638168334961,51.110435485839844,39.45073318481445,44.28105545043945,53.59629821777344,20.997867584228516,47.32609176635742,43.64863204956055,41.089378356933594,23.930620193481445,40.69648742675781,38.4915657043457,19.709999084472656
2009-12-24,84.1603775024414,51.50007247924805,39.49244689941406,44.395023345947266,53.812705993652344,21.15884780883789,47.775978088378906,43.64863204956055,41.27021408081055,24.276371002197266,40.775367736816406,38.74946975708008,19.469999313354492
2009-12-28,84.33993530273438,51.48507308959961,39.467403411865234,44.51569747924805,53.95276641845703,21.12997055053711,47.853851318359375,43.76828384399414,41.16799545288086,24.392677307128906,41.04069900512695,38.79637145996094,19.93000030517578
2009-12-29,84.22026062011719,51.455101013183594,39.55923843383789,44.616249084472656,53.57082748413086,21.050567626953125,47.81925964355469,43.744346618652344,41.230899810791016,24.027881622314453,40.99052047729492,38.80807876586914,20.010000228881836
2009-12-30,84.19033813476562,51.46261215209961,39.400638580322266,44.57602310180664,53.5262451171875,21.050567626953125,48.000946044921875,43.688514709472656,41.089378356933594,24.064908981323242,40.918792724609375,38.77290344238281,19.959999084472656
2009-12-31,83.38224792480469,50.81819152832031,39.04167938232422,44.03969955444336,53.07426071166992,20.96393585205078,47.47317886352539,43.22587203979492,40.55473709106445,23.652544021606445,40.524375915527344,38.20436096191406,21.68000030517578
2010-01-04,84.79637145996094,52.35430145263672,39.350555419921875,44.48887252807617,54.72944641113281,21.346534729003906,48.277809143066406,43.82411575317383,41.30952835083008,23.55209732055664,41.39211654663086,38.37434387207031,20.040000915527344
