,value
cumulative_return,-0.017460310693696912
annual_return,-0.015954202363910097
annual_volatility,0.13147108607865343
sharpe_ratio,-0.05675048374125865
sortino_ratio,-0.08386914365276016
max_drawdown,-0.11123247672614212
calmar_ratio,-0.14343115278454016
