,nav
2015-11-27,100000.0
2015-11-30,99703.51600868191
2015-12-01,100501.09692251502
2015-12-02,99288.5741716161
2015-12-03,98087.55246748093
2015-12-04,99509.83585218989
2015-12-07,98805.59197494148
2015-12-08,98277.59837476232
2015-12-09,97903.37653300661
2015-12-10,97891.73313625039
2015-12-11,96290.07346065421
2015-12-14,96462.78107768446
2015-12-15,97422.19589447907
2015-12-16,98815.99268511456
2015-12-17,97651.32814244987
2015-12-18,96272.70382988924
2015-12-21,96838.54160581424
2015-12-22,97694.50085825051
2015-12-23,99077.23340734915
2015-12-24,98947.77985157334
2015-12-28,98698.47232338283
2015-12-29,99567.43364004786
2015-12-30,98904.88517325696
2015-12-31,98145.34286746966
2016-01-04,96960.72339297873
2016-01-05,97358.96148865442
2016-01-06,96225.97947889753
2016-01-07,94286.91674441313
2016-01-08,93372.72323059336
2016-01-11,93300.20433605618
2016-01-12,93558.25516477355
2016-01-13,91672.05966025857
2016-01-14,92901.661190123
2016-01-15,91340.20314870327
2016-01-19,91263.171322727
2016-01-20,90113.86421894246
2016-01-21,90626.56280109638
2016-01-22,92550.71490975117
2016-01-25,91157.43350488249
2016-01-26,92629.50359058905
2016-01-27,91850.37656233214
2016-01-28,92258.47237966483
2016-01-29,94315.11360948003
2016-02-01,94331.6917488903
2016-02-02,92938.95421690121
2016-02-03,93774.29239623295
2016-02-04,94083.6295647757
2016-02-05,92667.43984456475
2016-02-08,91328.28566011094
2016-02-09,91042.9058780391
2016-02-10,91046.42755647044
2016-02-11,90081.87640179778
2016-02-12,91547.31882869064
2016-02-16,92865.31902729702
2016-02-17,94174.39149227142
2016-02-18,94056.85754935259
2016-02-19,93947.37317884802
2016-02-22,95156.27553863624
2016-02-23,94250.19117946472
2016-02-24,94755.21565691686
2016-02-25,95717.86018813227
2016-02-26,95612.89454127174
2016-02-29,95186.0397583987
2016-03-01,96922.18020966329
2016-03-02,97578.86594100244
2016-03-03,98098.89114436913
2016-03-04,98493.54677824922
2016-03-07,98943.39448946185
2016-03-08,97782.66175693498
2016-03-09,98240.31767245485
2016-03-10,98190.48563774831
2016-03-11,99657.06524212865
2016-03-14,99486.38793769275
2016-03-15,99142.44114900283
2016-03-16,99937.28978789512
2016-03-17,100852.69651287327
2016-03-18,101052.52938007603
2016-03-21,100978.7406306692
2016-03-22,100909.88363530138
2016-03-23,100146.472514907
2016-03-24,100268.33880895193
2016-03-28,100389.58660861723
2016-03-29,101560.24529226382
2016-03-30,101828.04131905512
2016-03-31,101787.05421169626
2016-04-01,102252.67167371324
2016-04-04,101836.87014775396
2016-04-05,100950.88595498308
2016-04-06,101835.24336849895
2016-04-07,100876.90578331253
2016-04-08,101332.27707592797
2016-04-11,101118.27435653882
2016-04-12,102054.96440287927
2016-04-13,102733.44472981161
2016-04-14,102634.94842687795
2016-04-15,102758.18405168652
2016-04-18,103360.14167457682
2016-04-19,103850.16127600968
2016-04-20,103621.9061993149
2016-04-21,102754.31176389525
2016-04-22,103261.31595945546
2016-04-25,103077.90007679012
2016-04-26,103471.59224810249
2016-04-27,103929.7014362944
2016-04-28,103212.28224818295
2016-04-29,102777.95852549755
2016-05-02,103564.23952383477
2016-05-03,102690.13629225349
2016-05-04,102413.76231950552
2016-05-05,102251.21511246546
2016-05-06,102601.3222983437
2016-05-09,102612.59840983621
2016-05-10,103667.72687833701
2016-05-11,102916.13088251275
2016-05-12,103000.9612910948
2016-05-13,102245.33810306553
2016-05-16,103162.10306055074
2016-05-17,102143.92217357489
2016-05-18,101640.82734470973
2016-05-19,101360.1611391541
2016-05-20,101984.39888134548
2016-05-23,101835.77943153206
2016-05-24,102954.38924397272
2016-05-25,103526.12551292313
2016-05-26,103539.90106053634
2016-05-27,103907.75877019714
2016-05-31,103921.86840811418
2016-06-01,104054.38340990338
2016-06-02,104407.38947132324
2016-06-03,104386.52973692497
2016-06-06,104848.76686706279
2016-06-07,105239.57930186711
2016-06-08,105629.27614076773
2016-06-09,105522.88942484275
2016-06-10,104649.13071602212
2016-06-13,104005.02161327215
2016-06-14,103894.7255537911
2016-06-15,103928.66871596532
2016-06-16,104251.4304673112
2016-06-17,104179.8757269694
2016-06-20,104756.84610482385
2016-06-21,104971.90389665858
2016-06-22,104759.08483250753
2016-06-23,105985.00359460142
2016-06-24,103065.61285098374
2016-06-27,101529.24319378263
2016-06-28,103084.01449202541
2016-06-29,104632.09440064068
2016-06-30,106090.05277711539
2016-07-01,106316.66780467701
2016-07-05,105701.49545482977
2016-07-06,106142.6907051896
2016-07-07,105871.0220244309
2016-07-08,107450.93365091634
2016-07-11,107834.66131293989
2016-07-12,108495.65825172444
2016-07-13,108628.10189196182
2016-07-14,108838.97068529042
2016-07-15,108875.4453373843
2016-07-18,109030.30375517825
2016-07-19,108791.35535041022
2016-07-20,109034.84058591495
2016-07-21,108691.07542759342
2016-07-22,109294.23064035788
2016-07-25,108974.51010526624
2016-07-26,109003.35908070204
2016-07-27,108662.26488616671
2016-07-28,108791.44542352982
2016-07-29,109174.67861718548
2016-08-01,108864.25837734295
2016-08-02,108099.68240715879
2016-08-03,108344.7561391067
2016-08-04,108377.59532953595
2016-08-05,108814.93110638391
2016-08-08,108841.0600324759
2016-08-09,108871.0355341652
2016-08-10,108644.98557686801
2016-08-11,108951.34045825907
2016-08-12,108824.3413842725
2016-08-15,109068.00499110263
2016-08-16,108339.5545614548
2016-08-17,108541.4826878372
2016-08-18,108941.48385461298
2016-08-19,108620.83067807961
2016-08-22,108650.36745922938
2016-08-23,108893.25849357118
2016-08-24,108354.69645530608
2016-08-25,108403.5551092853
2016-08-26,107958.25818004535
2016-08-29,108601.41414704804
2016-08-30,108333.26377203767
2016-08-31,108079.34448027461
2016-09-01,107974.3344985404
2016-09-02,108667.16804110973
2016-09-06,109062.3368913743
2016-09-07,109189.61999031455
2016-09-08,109020.633914865
2016-09-09,106208.35096402248
2016-09-12,107630.61341603048
2016-09-13,105909.27250495597
2016-09-14,105786.11796751177
2016-09-15,106694.83114761529
2016-09-16,106431.54491261557
2016-09-19,106671.61223382538
2016-09-20,106488.93866935387
2016-09-21,107739.97292397269
2016-09-22,108588.55123771643
2016-09-23,108155.927167884
2016-09-26,107510.22273108624
2016-09-27,107753.40437114875
2016-09-28,108467.72917973896
2016-09-29,107555.59079318465
2016-09-30,108110.34561413902
2016-10-03,107636.12534651285
2016-10-04,106849.51002620232
2016-10-05,107117.53031561941
2016-10-06,107151.28134465968
2016-10-07,106697.11084512218
2016-10-10,107308.64530207748
2016-10-11,106127.50697759971
2016-10-12,106374.65778765235
2016-10-13,106202.82176872437
2016-10-14,106107.93003322119
2016-10-17,105947.79158651289
2016-10-18,106560.34071374155
2016-10-19,106867.46170094692
2016-10-20,106640.96996274068
2016-10-21,106470.9044866305
2016-10-24,106845.677083619
2016-10-25,106416.84659519211
2016-10-26,106157.60591737936
2016-10-27,105764.83821175278
2016-10-28,105578.1030373557
2016-10-31,105808.30303754033
2016-11-01,104913.57519456606
2016-11-02,103995.07117049056
2016-11-03,103740.0463728979
2016-11-04,103769.32832335318
2016-11-07,105660.0702448894
2016-11-08,106142.61560395129
2016-11-09,107066.25100670889
2016-11-10,106943.42610739918
2016-11-11,106927.0298129017
2016-11-14,107369.23622892474
2016-11-15,108095.70723758021
2016-11-16,107919.58534194065
2016-11-17,108160.66169184324
2016-11-18,108110.53330563837
2016-11-21,108897.3486252207
2016-11-22,109427.51817710043
2016-11-23,109534.64705530816
2016-11-25,109979.98771217241
2016-11-28,109705.93232198402
2016-11-29,109791.28169894492
2016-11-30,109496.8167386047
2016-12-01,109084.23182161128
2016-12-02,109291.4775197674
2016-12-05,109992.23521431448
2016-12-06,110429.08516588797
2016-12-07,111773.99091208878
2016-12-08,112188.57299564917
2016-12-09,112626.03679332713
2016-12-12,112530.30996347143
2016-12-13,113074.0178227125
2016-12-14,111899.416255502
2016-12-15,112302.69866089763
2016-12-16,112449.27811039014
2016-12-19,112825.22515427323
2016-12-20,113197.3720692683
2016-12-21,112828.61833448483
2016-12-22,112674.56773877353
2016-12-23,112879.93147218591
2016-12-27,113127.72655050614
2016-12-28,112240.94871021221
2016-12-29,112463.3743481433
2016-12-30,112152.24177923136
