,nav
2014-11-25,100000.0
2014-11-26,100412.58845248002
2014-11-28,101461.82003142558
2014-12-01,100943.95067729226
2014-12-02,101272.75075638399
2014-12-03,100797.3806751755
2014-12-04,100722.33137726503
2014-12-05,100636.81202338223
2014-12-08,100645.38832185009
2014-12-09,100841.2426064383
2014-12-10,100278.82033940301
2014-12-11,100631.16709868352
2014-12-12,99642.14241160071
2014-12-15,98430.76492774909
2014-12-16,98264.90814089598
2014-12-17,100486.5334570667
2014-12-18,101345.80685491714
2014-12-19,101298.98780247362
2014-12-22,102756.00238877439
2014-12-23,102723.74846284457
2014-12-24,102452.5679311071
2014-12-26,102919.64148294092
2014-12-29,103438.64125268163
2014-12-30,102823.16959931681
2014-12-31,101169.19564600322
2015-01-02,102223.54349977482
2015-01-05,102372.2368982437
2015-01-06,103343.438488413
2015-01-07,104926.435590096
2015-01-08,105528.17195836607
2015-01-09,105166.0618124386
2015-01-12,105564.52783964273
2015-01-13,105401.08466590095
2015-01-14,105780.67294336199
2015-01-15,105835.63480942199
2015-01-16,106768.48201355635
2015-01-20,106259.37554976252
2015-01-21,106329.25165789112
2015-01-22,107831.2775197578
2015-01-23,107269.76393789494
2015-01-26,107918.91095119323
2015-01-27,107707.30424818383
2015-01-28,106928.98957324136
2015-01-29,107320.38678235695
2015-01-30,105084.42407418865
2015-02-02,104805.16004194926
2015-02-03,105757.89107823801
2015-02-04,105453.644018957
2015-02-05,106678.22906653926
2015-02-06,103844.52219747243
2015-02-09,103217.35464448856
2015-02-10,103794.054650147
2015-02-11,103557.46334302193
2015-02-12,104758.43420848786
2015-02-13,104308.15021321787
2015-02-17,104091.39469015153
2015-02-18,104743.0857251241
2015-02-19,102999.34307572982
2015-02-20,103890.66617745328
2015-02-23,104351.55025683016
2015-02-24,102967.1500158841
2015-02-25,103262.08766652388
2015-02-26,102709.8606634729
2015-02-27,102678.39622861997
2015-03-02,103559.78772402689
2015-03-03,103321.30637806491
2015-03-04,102621.67102845278
2015-03-05,102757.83481782507
2015-03-06,100772.75454428382
2015-03-09,101286.99111020588
2015-03-10,99794.06746506445
2015-03-11,99429.08783646251
2015-03-12,101294.8892678989
2015-03-13,100700.63659829127
2015-03-16,102215.0876056465
2015-03-17,101921.098324054
2015-03-18,102888.68385098879
2015-03-19,103156.48420916812
2015-03-20,104046.44748634232
2015-03-23,103782.65416198799
2015-03-24,102945.6029053955
2015-03-25,100822.98171471538
2015-03-26,100539.00497229946
2015-03-27,101465.72637754974
2015-03-30,102579.35855412408
2015-03-31,101286.39279760234
2015-04-01,100089.21000780512
2015-04-02,100888.98396799657
2015-04-06,101287.72097990749
2015-04-07,100676.23063465417
2015-04-08,101460.62385800057
2015-04-09,101458.7284230913
2015-04-10,101831.95483439557
2015-04-13,101211.2631138975
2015-04-14,101153.23793746978
2015-04-15,101667.39184236764
2015-04-16,101729.48625135043
2015-04-17,100355.54310709046
2015-04-20,101252.02332809438
2015-04-21,101190.5674026326
2015-04-22,101376.10230031882
2015-04-23,101929.8746193686
2015-04-24,102673.4951970529
2015-04-27,101925.05067870993
2015-04-28,101902.77700960904
2015-04-29,101556.40171821738
2015-04-30,100326.33029330065
2015-05-01,101403.96194548527
2015-05-04,101508.24540327574
2015-05-05,100285.23155361041
2015-05-06,99952.46165345622
2015-05-07,100344.27174350803
2015-05-08,101670.97949434098
2015-05-11,101273.77719526914
2015-05-12,100843.59714302831
2015-05-13,100776.826905879
2015-05-14,102097.07235181249
2015-05-15,102326.98835710822
2015-05-18,103061.31430588456
2015-05-19,103528.57930513631
2015-05-20,103663.87891618276
2015-05-21,103604.60184062552
2015-05-22,103441.61984766448
2015-05-26,102460.86403288109
2015-05-27,103645.31835059387
2015-05-28,103667.54063322679
2015-05-29,103504.639325447
2015-06-01,103771.1936096155
2015-06-02,103223.37442244578
2015-06-03,103259.25583241801
2015-06-04,102361.02744081084
2015-06-05,102685.40905549766
2015-06-08,102197.35500181043
2015-06-09,102082.7863357465
2015-06-10,103342.48950558779
2015-06-11,103306.53413602273
2015-06-12,102330.14702168627
2015-06-15,101825.83101567847
2015-06-16,102439.65556196168
2015-06-17,102799.75718411584
2015-06-18,103660.9011911214
2015-06-19,103045.54388103484
2015-06-22,103629.76927958004
2015-06-23,103897.32419801896
2015-06-24,103002.76745453048
2015-06-25,102751.3336909675
2015-06-26,102461.1430303305
2015-06-29,100084.185486795
2015-06-30,100688.48639307154
2015-07-01,101343.1888140541
2015-07-02,101005.06221879597
2015-07-06,101062.5568010623
2015-07-07,101432.83670068413
2015-07-08,99750.79201109466
2015-07-09,100341.0424188532
2015-07-10,101701.59451791206
2015-07-13,102738.81688065239
2015-07-14,103424.20344569272
2015-07-15,103309.16055843532
2015-07-16,104065.54482052772
2015-07-17,103750.7388864051
2015-07-20,103949.68362424952
2015-07-21,103724.75873127238
2015-07-22,104381.46725979386
2015-07-23,103804.51654802398
2015-07-24,101319.2601910858
2015-07-27,100911.57755578263
2015-07-28,102691.55328964401
2015-07-29,102741.75268863622
2015-07-30,102630.35686795287
2015-07-31,103213.94880526859
2015-08-03,103014.32233315457
2015-08-04,103027.17882890489
2015-08-05,103164.90714059268
2015-08-06,101397.53662219695
2015-08-07,100867.76182230034
2015-08-10,101428.58450986724
2015-08-11,100479.43854308901
2015-08-12,99864.42747671224
2015-08-13,99623.95391902394
2015-08-14,100039.30678478353
2015-08-17,100305.43420672332
2015-08-18,100066.62185030102
2015-08-19,99809.50248147128
2015-08-20,98143.41165603914
2015-08-21,96908.58220292254
2015-08-24,93455.07578894157
2015-08-25,90634.04430681477
2015-08-26,92170.06712773805
2015-08-27,93550.31379622137
2015-08-28,93409.43342608013
2015-08-31,92010.59726919328
2015-09-01,90069.24026396619
2015-09-02,91333.73194486434
2015-09-03,91980.85345092753
2015-09-04,90641.97592899643
2015-09-08,92427.16098416274
2015-09-09,90872.56377193987
2015-09-10,91080.82309053729
2015-09-11,91658.37783664429
2015-09-14,91197.99161118004
2015-09-15,92126.27708110653
2015-09-16,93148.48268635165
2015-09-17,94303.14986908004
2015-09-18,93730.92581141861
2015-09-21,94068.1222478723
2015-09-22,92922.04088493618
2015-09-23,93116.07054734256
2015-09-24,92242.71600097156
2015-09-25,93139.58469012057
2015-09-28,92632.91797500876
2015-09-29,92673.42511623981
2015-09-30,94264.43353936532
2015-10-01,93291.57504220323
2015-10-02,94548.14456883038
2015-10-05,95936.47771706597
2015-10-06,95216.99015365758
2015-10-07,95014.32561482416
2015-10-08,96137.77367600022
2015-10-09,95825.19843454368
2015-10-12,96504.56589841498
2015-10-13,96170.05011894664
2015-10-14,96139.68684921296
2015-10-15,97555.01149428077
2015-10-16,97757.17624895203
2015-10-19,97878.50080611014
2015-10-20,98090.7973608407
2015-10-21,97797.60705785669
2015-10-22,98857.33468169734
2015-10-23,97209.73349776342
2015-10-26,97137.60741885914
2015-10-27,97088.08743651796
2015-10-28,97534.31033433598
2015-10-29,97187.2035252526
2015-10-30,96329.1324376625
2015-11-02,97528.35331207824
2015-11-03,96910.76327814
2015-11-04,96659.19420023583
2015-11-05,96366.98642810584
2015-11-06,96934.21966609586
2015-11-09,96014.58268240927
2015-11-10,95309.78966642152
2015-11-11,95258.22827220624
2015-11-12,94304.17601206066
2015-11-13,92456.26746533612
2015-11-16,93693.95805758488
2015-11-17,93754.09612952969
2015-11-18,95249.62264366582
2015-11-19,95601.75915315394
2015-11-20,96364.84328215929
2015-11-23,95939.64201662724
2015-11-24,95912.23347389261
2015-11-25,95942.31847842388
2015-11-27,96362.93537998722
2015-11-30,96098.04547644827
2015-12-01,97142.93736012594
2015-12-02,95924.8333667925
2015-12-03,94523.68474401733
2015-12-04,96492.16528986787
2015-12-07,96010.66437475498
2015-12-08,95838.64495551349
2015-12-09,94706.84601724728
2015-12-10,94624.97751395903
2015-12-11,92970.82431266562
2015-12-14,93438.25390634076
2015-12-15,93938.96965617477
2015-12-16,95432.96213496581
2015-12-17,94173.11365052663
2015-12-18,92431.17869925541
2015-12-21,93105.9988131062
2015-12-22,93679.86970015471
2015-12-23,94864.72796175709
2015-12-24,94809.67304225394
2015-12-28,94497.67980704719
2015-12-29,95440.31369265768
2015-12-30,94601.78717229633
2015-12-31,93526.30361065222
