Date,VAW,VDE,VFH,VIS,VGT,VDC,VPU,VHT,VCR,VNQ,VOX,CASH
2010-11-30,1.8439131961799658e-16,0.27936516868159056,8.731410043887392e-17,0.0,0.3354969198566224,0.0,3.8188239744091557e-17,0.0,0.38513791146178733,2.6784070626850352e-17,0.0,0.0
2010-12-01,2.190307548349847e-16,0.3833495089557381,1.4315463335000162e-16,2.271556288222285e-16,0.07458391884908486,1.861675216002834e-16,0.0,7.695761941537191e-17,0.5420665721951763,0.0,2.0664800869045286e-16,0.0
2010-12-02,3.10199977663046e-16,0.3561965633208,0.0,1.746461446734264e-16,0.010123920412230647,7.357669143885536e-17,5.057529619057237e-17,1.1064812886815942e-16,0.6336795162669687,0.0,3.1760774993263065e-16,0.0
2010-12-03,9.63953886171654e-17,0.3552979616681521,8.592281589034402e-17,3.74843327468882e-17,0.054700477174573506,0.0,0.0,0.0,0.5900015611572743,7.351291615120638e-17,1.3698676723749578e-16,0.0
2010-12-06,0.0,0.3574891533984882,0.0,0.0,0.0464336256769458,0.0,0.0,5.979130946542905e-17,0.5960772209245667,3.503896121897596e-17,0.0,0.0
2010-12-07,1.4618393738380892e-16,0.344015930808345,0.0,2.7510429127914594e-16,0.13999787137998662,4.8089868239039626e-17,0.0,9.08111166028244e-18,0.5159861978116682,2.4967493522095626e-17,0.0,0.0
2010-12-08,2.4106103852305806e-16,0.412695913056433,1.280659113390385e-16,0.0,0.031799010798221325,2.1627249836616413e-16,0.0,2.3069575146019652e-17,0.5555050761453453,0.0,6.214342719587205e-17,0.0
2010-12-09,8.175645303332042e-17,0.39208320526096535,0.0,1.4137258848040316e-16,0.1503016205486754,1.7804893381719352e-16,0.0,6.543876390842039e-18,0.45761517419035924,0.0,1.5724386805780607e-16,0.0
2010-12-10,1.1412331140951752e-16,0.46621134058570896,0.0,1.1176495634447774e-16,0.08024042262341177,1.8560247733766144e-16,9.040726366379643e-18,3.4852033100604753e-17,0.453548236790879,0.0,1.4024789119724482e-16,0.0
2010-12-13,2.9109243824580186e-17,0.5155336296368432,2.4143291372216878e-17,1.4884982468286264e-17,0.0,6.132749916782838e-17,1.9305880711362614e-17,3.1524660304696456e-17,0.4844663703631569,0.0,1.1713740616843135e-16,0.0
2010-12-14,8.361216831505182e-17,0.7799541003317891,0.0,0.0,0.0,1.1375048204536564e-17,0.0,0.0,0.2200458996682113,3.774902691537536e-17,0.0,0.0
2010-12-15,0.0,0.8212189465300872,0.0,0.0,8.754334991727836e-17,2.3685963926759014e-17,0.0,1.2234074428257984e-19,0.17878105346991285,5.562723388764485e-17,5.340239368504938e-17,0.0
2010-12-16,0.0,0.7371893876449954,0.0,0.0,4.861661762680186e-16,0.0,1.145798712713638e-16,6.284900987253495e-17,0.2628106123550042,0.0,1.0219532171593637e-16,0.0
2010-12-17,2.1922299942104778e-16,0.6373203790703125,0.0,6.826175115115143e-17,0.0,0.0,0.0,3.555980645716072e-17,0.36267962092968736,0.0,1.9056145241916741e-16,0.0
2010-12-20,0.0,0.6060627905319118,0.0,0.0,1.7334742285551002e-16,5.377642775528102e-17,4.457823269594918e-17,4.244010301425721e-18,0.3939372094680882,2.0252482176104318e-17,0.0,0.0
2010-12-21,0.0,0.6565248547700726,3.601409258368008e-17,0.0,1.146286534600614e-16,3.243861231782993e-16,1.2085222955986958e-16,3.7085200270658e-17,0.3434751452299271,0.0,1.8899365017218526e-16,0.0
2010-12-22,0.0,0.6437684378020714,0.0,7.796593615223122e-17,0.0,7.486896663169053e-17,7.713068538380454e-18,2.77189208639087e-17,0.3562315621979288,0.0,1.6713756575100108e-17,0.0
2010-12-23,0.0,0.7047447726449062,0.0,0.0,0.0,0.0,2.9966399009283225e-18,0.0,0.2952552273550942,0.0,0.0,0.0
2010-12-27,0.0,0.6226480028872068,3.485773798135967e-17,0.0,1.7107620540204573e-16,2.733381802091689e-16,1.6102656691377872e-17,0.0,0.37735199711279294,0.0,0.0,0.0
2010-12-28,0.0,0.5922159396261338,8.401310676189397e-17,0.0,6.50860944389351e-17,6.418476861114186e-17,0.0,1.103940080979972e-17,0.4077840603738662,0.0,6.603954679790868e-17,0.0
