,nav
2018-11-27,100000.0
2018-11-28,100306.32875981019
2018-11-29,100334.94492142081
2018-11-30,101135.56686793546
2018-12-03,101286.4118576443
2018-12-04,100571.58977849736
2018-12-06,100587.65466770742
2018-12-07,101086.27727137427
2018-12-10,101351.65346241777
2018-12-11,101665.27072905259
2018-12-12,101222.9796555335
2018-12-13,102064.51841862655
2018-12-14,101805.09018126749
2018-12-17,98497.26220137147
2018-12-18,97791.90760020506
2018-12-19,97670.31100739261
2018-12-20,97832.43721958913
2018-12-21,97167.62770712716
2018-12-24,93000.41710308484
2018-12-26,94313.82428025515
2018-12-27,95092.13219631293
2018-12-28,95221.82697834198
2018-12-31,95529.92943226291
2019-01-02,93754.399512852
2019-01-03,93859.8151965517
2019-01-04,95319.12900350623
2019-01-07,94621.88806124328
2019-01-08,96576.07354676124
2019-01-09,96437.37127385662
2019-01-10,97748.62907114309
2019-01-11,98026.00202190156
2019-01-14,97698.19073208502
2019-01-15,98631.1673054461
2019-01-16,99324.5965228372
2019-01-17,99803.70387279749
2019-01-18,100144.10894985315
2019-01-22,99841.51682956565
2019-01-23,99854.09165977432
2019-01-24,99969.16814229946
2019-01-25,101083.47878560644
2019-01-28,101896.06981780227
2019-01-29,102718.54034072199
2019-01-30,103600.96559179673
2019-01-31,104680.2582897111
2019-02-01,104015.09062833963
2019-02-04,104793.19004502097
2019-02-05,105395.63950809707
2019-02-06,104705.36821324885
2019-02-07,105571.30204182431
2019-02-08,105571.30204182431
2019-02-11,105859.92778116644
2019-02-12,105194.81044028304
2019-02-13,105757.46392302793
2019-02-14,105903.65304948139
2019-02-15,106617.90278212677
2019-02-19,106598.07820067169
2019-02-20,106254.35611781439
2019-02-21,106117.98235828684
2019-02-22,106906.22219878103
2019-02-25,106599.61065000673
2019-02-26,106368.82728018746
2019-02-27,106353.86575696562
2019-02-28,106443.98460033613
2019-03-01,106717.02225797035
2019-03-04,106541.39360467391
2019-03-05,106289.31744113295
2019-03-06,105479.47742052589
2019-03-07,104832.36146831159
2019-03-08,104580.03943471721
2019-03-11,105639.9703645139
2019-03-12,105262.65604027148
2019-03-13,105888.11918332428
2019-03-14,105868.14741528028
2019-03-15,106140.16961317531
2019-03-18,106300.51440732436
2019-03-19,105518.08927125225
2019-03-20,104530.27760600891
2019-03-21,106190.61310215862
2019-03-22,104429.83286735397
2019-03-25,104479.02914262656
2019-03-26,105359.04436549234
2019-03-27,104880.1306259713
2019-03-28,105244.89763516898
2019-03-29,105395.32589572622
2019-04-01,105393.99508792146
2019-04-02,105831.70545241165
2019-04-03,106005.15520548317
2019-04-04,105693.39988932556
2019-04-05,106394.30317142556
2019-04-08,106003.1280182068
2019-04-09,105588.66920140186
2019-04-10,106220.73069196686
2019-04-11,106356.71454014814
2019-04-12,106960.72016340388
2019-04-15,106800.42350336094
2019-04-16,105805.15617481757
2019-04-17,105803.34414257281
2019-04-18,105976.1198033604
2019-04-22,105908.2040897394
2019-04-23,106596.06716766494
2019-04-24,106845.06472336246
2019-04-25,106631.20236840448
2019-04-26,106716.61050964205
2019-04-29,106649.49761479684
2019-04-30,107105.9778710905
2019-05-01,106285.50308965816
2019-05-02,105929.9051692292
2019-05-03,106822.45296712319
2019-05-06,106323.21547023821
2019-05-07,104820.48570038758
2019-05-08,104334.08485532428
2019-05-09,103933.91523899105
2019-05-10,104578.99964347527
2019-05-13,102691.22900976535
2019-05-14,102670.42616392292
2019-05-15,103164.47132840203
2019-05-16,103959.0043699502
2019-05-17,103765.87395700657
2019-05-20,103325.97305439446
2019-05-21,103406.88689203555
2019-05-22,103760.68538342792
2019-05-23,103649.70088544177
2019-05-24,103455.87473294637
2019-05-28,102104.89703133074
2019-05-29,100965.65478542072
2019-05-30,101194.44182029262
2019-05-31,100241.60825419119
2019-06-03,100859.27342981598
2019-06-04,101141.00107192814
2019-06-05,102504.64737839674
2019-06-06,103127.6425613851
2019-06-07,103637.87475358503
2019-06-10,103581.3917961316
2019-06-11,103960.63276495003
2019-06-12,104046.64007205196
2019-06-13,104376.33447162808
2019-06-14,104577.00509383087
2019-06-17,104473.11332940873
2019-06-18,104181.57266116455
2019-06-19,104445.08657964577
2019-06-20,105011.97559349956
2019-06-21,104420.54887534003
2019-06-24,104238.44255706869
2019-06-25,103478.29283296879
2019-06-26,102099.62902412572
2019-06-27,102397.13251300847
2019-06-28,102888.94592445699
2019-07-01,103349.58903672591
2019-07-02,103955.20506297865
2019-07-03,104990.98090709836
2019-07-05,104917.41557526741
2019-07-08,104751.53432173982
2019-07-09,104683.38255435665
2019-07-10,104867.27666067089
2019-07-11,104934.09580905763
2019-07-12,105009.35517953483
2019-07-15,105201.70557742359
2019-07-16,104693.51054933328
2019-07-17,104827.73253696135
2019-07-18,105583.22046367133
