,VAW,VDE,VFH,VIS,VGT,VDC,VPU,VHT,VCR,VNQ,VOX,CASH
2017-11-29,0.08852519864269093,0.08418540369774742,0.09485795255475149,0.08243322893374797,0.08069080378220954,0.07392485683446577,0.0825707814414293,0.08242511901198848,0.07158818569776547,0.0920505127730416,0.08508907214763321,0.08165888448252877
2017-11-30,0.0850479554799611,0.08629077324864586,0.0870999425899863,0.0811122675143423,0.08175278233041092,0.07837541442948744,0.08362529674948088,0.08585626564438847,0.07662796839220835,0.088022592441127,0.08184086943260577,0.08434787174735554
2017-12-01,0.08524534148429014,0.08602728244458749,0.08642860162387346,0.08157003949795452,0.08185599821432067,0.07897673969021429,0.08379257273103546,0.08596864176200425,0.07696125045461145,0.08774871206725342,0.08133552683437502,0.0840892931954797
2017-12-04,0.08520471908009251,0.08591359727160454,0.08696850373762141,0.08205239433051179,0.0814171213037745,0.07887349070319911,0.08375924884233606,0.08578386418509228,0.07645365109666433,0.08774710528081543,0.0820597475274936,0.08376655664079455
2017-12-05,0.08535178616645303,0.08629096721327503,0.08731125408703594,0.08197462927032417,0.08191651940145112,0.0786591810902144,0.08330966378124857,0.08556970827543255,0.07624346501102336,0.08818006269535718,0.08140610716014239,0.08378665584804218
2017-12-06,0.08550024265066312,0.08615968826262806,0.08690795982616362,0.08172823161488525,0.08186625991477621,0.07853089201163849,0.083583995019886,0.08612596077391425,0.07618549377632022,0.0882031659681613,0.08083905793542667,0.08436905224553656
2017-12-07,0.08579117330580455,0.08648412779628308,0.08770130543107191,0.08184413864155324,0.08197920086417086,0.07786482788697137,0.08333375157707142,0.08574737636582763,0.07586721349827362,0.0889945899588233,0.08021761665312345,0.08417467802102553
2017-12-08,0.08578302606691163,0.08608123313574477,0.0875214209438619,0.08231834900944687,0.08173021115327378,0.07741695345535396,0.08391972268476593,0.08616519505924339,0.07584147095350059,0.08897758325294627,0.07986680299404164,0.08437803129090918
2017-12-11,0.08570083021663592,0.08652558854740874,0.08700260790983337,0.08126755203330778,0.08204110131250548,0.07807336752983461,0.08370363232684529,0.08633856034199833,0.07602441690409724,0.0887757137732504,0.07994977379520918,0.08459685530907361
2017-12-12,0.08609135318986097,0.0859739663486158,0.08803797217425666,0.0815713781888142,0.08182646926290757,0.07773821543377073,0.08374266921113843,0.08598392628964442,0.07527169870723802,0.08902465427863689,0.08082183756801459,0.08391585934710183
