,nav
2017-11-28,100000.0
2017-11-29,99730.96876046964
2017-11-30,100465.83117707426
2017-12-01,100264.26451779716
2017-12-04,100548.20614978902
2017-12-05,99928.39503808491
2017-12-06,99628.28358065394
2017-12-07,99891.19521484674
2017-12-08,100338.56384456635
2017-12-11,100573.82116472734
2017-12-12,100508.32702322927
2017-12-13,100231.74897026096
2017-12-14,99993.28089386316
2017-12-15,100799.85063420772
2017-12-18,101451.02964643952
2017-12-19,100887.9235619081
2017-12-20,100733.75460603858
2017-12-21,101045.20461996435
2017-12-22,100940.57529039444
2017-12-26,100829.76496966566
2017-12-27,100732.26991974696
2017-12-28,100902.33647388712
2017-12-29,100444.50571138486
2018-01-02,101209.65297236822
2018-01-03,101810.55507167672
2018-01-04,102272.08696651846
2018-01-05,102826.20709122464
2018-01-08,103122.22188482118
2018-01-09,103113.69234677643
2018-01-10,102972.91297603922
2018-01-11,104110.95615469533
2018-01-12,104894.20296840272
2018-01-16,104368.9984427333
2018-01-17,105315.3376484929
2018-01-18,105068.87650775137
2018-01-19,105853.66783189464
2018-01-22,106925.68334950284
2018-01-23,107231.41606311487
2018-01-24,107258.8267912087
2018-01-25,107012.23904779558
2018-01-26,107911.55289962176
2018-01-29,107416.16148002628
2018-01-30,106427.60314042529
2018-01-31,105921.0277566981
2018-02-01,105096.65952489908
2018-02-02,103507.24877189238
2018-02-05,99870.60921725682
2018-02-06,102123.5235797756
2018-02-07,102073.59527597215
2018-02-08,98040.80738195531
2018-02-09,98614.81900205243
2018-02-12,99962.58773746034
2018-02-13,100455.48369488707
2018-02-14,102040.30362541834
2018-02-15,102986.49832817484
2018-02-16,102573.76906431069
2018-02-20,102140.62828621916
2018-02-21,102066.98214073967
2018-02-22,101957.61432686578
2018-02-23,103318.81937047924
2018-02-26,104243.60954651576
2018-02-27,102184.80855477175
2018-02-28,101541.1300545551
2018-03-01,100285.63560809697
2018-03-02,100863.03885994849
2018-03-05,101897.34254953238
2018-03-06,102243.60431601174
2018-03-07,102382.77988867741
2018-03-08,102762.20522634649
2018-03-09,104705.72213122468
2018-03-12,105056.57328008542
2018-03-13,103911.2442421875
2018-03-14,103839.76550599189
2018-03-15,103846.59265506668
2018-03-16,103738.18355419394
2018-03-19,101731.69133735342
2018-03-20,101834.22895914389
2018-03-21,101471.86034481354
2018-03-22,98747.3745938668
2018-03-23,96114.12455194167
2018-03-26,99761.92386994557
2018-03-27,96376.28874673565
2018-03-28,95424.45296638983
2018-03-29,97464.97343620572
2018-04-02,95116.63833622781
2018-04-03,95977.32218689915
2018-04-04,97248.32004453456
2018-04-05,97658.72713966209
2018-04-06,95630.84419974188
2018-04-09,95412.9152837162
2018-04-10,94874.96795519495
2018-04-11,94559.6170473317
2018-04-12,93451.38269177997
2018-04-13,93080.60850851084
2018-04-16,93725.42630678571
2018-04-17,94663.61092370554
2018-04-18,94328.53445757838
2018-04-19,94211.29414517028
2018-04-20,93474.12919616123
2018-04-23,93708.67535039118
2018-04-24,94370.41594415298
2018-04-25,94345.31817867975
2018-04-26,95400.78406389127
2018-04-27,96305.40942978505
2018-04-30,95970.36572836478
2018-05-01,95777.69286953272
2018-05-02,95679.2475299111
2018-05-03,95676.28228095644
2018-05-04,96114.72865273175
