method,train_start,train_end,test_start,test_end,cumulative_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
mvo,2008-01-01,2013-01-01,2014-01-01,2015-01-01,0.152998998227452,0.13881322321221012,0.1126406738588283,1.210430791386187,1.7247026488041075,-0.07772350159122421,1.7859877690827504
ew,2008-01-01,2013-01-01,2014-01-01,2015-01-01,0.14864141614222381,0.13488286565012397,0.10340890154221669,1.2754877620965086,1.708320485766456,-0.0715973219078796,1.8839093705721348
drl,2009-01-01,2014-01-01,2015-01-01,2016-01-01,0.0004190383172357759,0.0003825932331367188,0.1298226449369799,0.06764962469291096,0.1036259404993485,-0.10172550306302619,0.0037610355477885916
mvo,2009-01-01,2014-01-01,2015-01-01,2016-01-01,-0.06473696389347783,-0.05927806963394633,0.1499483410758222,-0.33253542676299735,-0.4621135029794844,-0.1653989141467489,-0.35839455137747955
ew,2009-01-01,2014-01-01,2015-01-01,2016-01-01,-0.022072459862102933,-0.020172612386407662,0.14390362540915846,-0.06981288499103333,-0.10237646104710753,-0.122352607496929,-0.16487276241263585
drl,2010-01-01,2015-01-01,2016-01-01,2017-01-01,0.12607233379035665,0.11494507036076351,0.11807080722400026,0.9805918081602306,1.3910872552083424,-0.0992930235809023,1.1576349094365948
mvo,2010-01-01,2015-01-01,2016-01-01,2017-01-01,0.13672117553554908,0.12460304826567348,0.1444003421460422,0.885339560613211,1.3102076099603372,-0.1478928938481775,0.842522213363323
ew,2010-01-01,2015-01-01,2016-01-01,2017-01-01,0.13169142813637924,0.12004226106436877,0.13300547451394223,0.9188756735025204,1.289262523328755,-0.11387479097099873,1.0541601002362389
drl,2011-01-01,2016-01-01,2017-01-01,2018-01-01,0.1674794607296437,0.15365573588601156,0.060337218543851455,2.3996811014809127,3.5114528482909475,-0.023380440472759778,6.571977806193758
mvo,2011-01-01,2016-01-01,2017-01-01,2018-01-01,0.20074224933842522,0.18396337910896654,0.07535741153051737,2.279206460885405,3.1131769578554827,-0.027335908209899062,6.7297335686234305
ew,2011-01-01,2016-01-01,2017-01-01,2018-01-01,0.17929112216391774,0.16442553116471403,0.06710023494588263,2.302780924937078,3.3500946821019757,-0.02613161535302544,6.29220692802205
drl,2012-01-01,2017-01-01,2018-01-01,2019-01-01,-0.05051633622119234,-0.04672275164029982,0.1312764680532682,-0.298892229165039,-0.3638151776686836,-0.17080515627125137,-0.27354415206353955
mvo,2012-01-01,2017-01-01,2018-01-01,2019-01-01,-0.12138473824932272,-0.11259490796196048,0.1499444609651062,-0.7212695732828777,-0.8360674209040283,-0.20735966467274547,-0.5429932968866317
ew,2012-01-01,2017-01-01,2018-01-01,2019-01-01,-0.05791534354961925,-0.053581953659575965,0.14453976430218543,-0.3087355088107937,-0.3748867891651638,-0.18741984414347002,-0.28589263802054465
drl,2013-01-01,2018-01-01,2019-01-01,2020-01-01,0.17712485583892446,0.16181251323715595,0.12094884512912787,1.3006735583362556,1.628243276368551,-0.1377320035794496,1.1748359787986073
mvo,2013-01-01,2018-01-01,2019-01-01,2020-01-01,0.07382384869049052,0.06770031262739717,0.11423477561211959,0.6307755435982382,0.7264561602316433,-0.08880770946067063,0.7623247242670855
ew,2013-01-01,2018-01-01,2019-01-01,2020-01-01,0.19035647833303848,0.17381804390750544,0.13320610123702145,1.2698832440247068,1.5815730639577248,-0.1513312399160257,1.1485932713163371
drl,2014-01-01,2019-01-01,2020-01-01,2021-01-01,0.21159063524629662,0.19078350891645512,0.29861645993122726,0.7346521111786523,0.8385008349636297,-0.3250058865775691,0.5870155489350524
mvo,2014-01-01,2019-01-01,2020-01-01,2021-01-01,0.0031220316660403036,0.0028398601557186876,0.3489825949359796,0.1839466771558473,0.2054681895046051,-0.3538500669104523,0.008025602992007804
ew,2014-01-01,2019-01-01,2020-01-01,2021-01-01,0.16145635093622013,0.14587226027237143,0.34098585308672164,0.5714550565147805,0.6258860658914939,-0.37649218163560905,0.3874509681413652
