Date,SPY,VAW,VCR,VDC,VDE,VFH,VGT,VHT,VIS,VNQ,VOX,VPU,^VIX
2013-05-03,129.0528564453125,71.14981079101562,77.19121551513672,75.6432113647461,75.8826675415039,30.041545867919922,66.11714172363281,71.97518157958984,66.4056625366211,44.85413360595703,63.00275802612305,58.72158432006836,12.850000381469727
2013-05-06,129.38076782226562,71.39696502685547,77.39948272705078,75.08531188964844,76.29678344726562,30.339975357055664,66.48103332519531,71.64787292480469,66.8120346069336,45.085906982421875,62.7502555847168,57.98456573486328,12.65999984741211
2013-05-07,130.0364990234375,72.00289154052734,78.067626953125,75.67945861816406,76.82445526123047,30.546579360961914,66.40117645263672,71.77376556396484,67.4257583618164,45.33552551269531,63.42100143432617,58.555606842041016,12.829999923706055
2013-05-08,130.62832641601562,72.66463470458984,78.26716613769531,75.78087615966797,77.00480651855469,30.753173828125,66.90706634521484,72.04232788085938,67.84041595458984,45.359291076660156,64.02861785888672,58.07750701904297,12.65999984741211
2013-05-09,130.26046752929688,72.40155029296875,78.34526824951172,75.30990600585938,76.87120056152344,30.523622512817383,66.65856170654297,72.16822814941406,67.69113159179688,45.0621452331543,63.31840515136719,57.161258697509766,13.130000114440918
2013-05-10,130.68431091308594,72.48127746582031,79.0394515991211,75.73739624023438,76.55729675292969,30.623096466064453,66.96034240722656,72.96553039550781,68.00627136230469,45.22855758666992,63.89448928833008,57.34049987792969,12.59000015258789
2013-05-13,130.7882537841797,71.89923858642578,79.04811096191406,75.86056518554688,76.50384521484375,30.7302188873291,66.81834411621094,73.51103210449219,67.78236389160156,45.44251251220703,63.47624969482422,57.108116149902344,12.550000190734863
2013-05-14,132.1397705078125,72.78424072265625,79.88980865478516,76.74453735351562,77.47901916503906,31.18933868408203,67.11122131347656,74.31672668457031,68.6282958984375,45.60891342163086,64.07597351074219,57.49322509765625,12.770000457763672
2013-05-15,132.85159301757812,73.16695404052734,80.24557495117188,77.476318359375,77.2986831665039,31.46480941772461,67.24440002441406,74.56014251708984,69.04297637939453,46.060611724853516,64.5257797241211,58.05096435546875,12.8100004196167
2013-05-16,132.22779846191406,72.75235748291016,79.4125747680664,77.00536346435547,76.97138977050781,31.281169891357422,67.59943389892578,73.79641723632812,68.72782897949219,45.8228759765625,64.20221710205078,57.619388580322266,13.069999694824219
2013-05-17,133.50733947753906,73.6612319946289,80.19351196289062,77.1719970703125,78.14695739746094,31.66375732421875,68.35389709472656,74.21601867675781,69.67326354980469,46.07843017578125,64.42317962646484,58.17711639404297,12.449999809265137
2013-05-20,133.49940490722656,73.77289581298828,80.01126861572266,76.5126724243164,79.25569152832031,31.7020263671875,68.39825439453125,73.74604797363281,69.83084869384766,46.18544006347656,63.933921813964844,57.95801544189453,13.020000457763672
2013-05-21,133.69129943847656,73.72503662109375,80.34101104736328,76.47645568847656,79.17552947998047,31.763242721557617,68.29175567626953,74.43424224853516,69.91376495361328,46.44691848754883,63.926063537597656,58.004486083984375,13.369999885559082
