Date,VAW,VDE,VFH,VIS,VGT,VDC,VPU,VHT,VCR,VNQ,VOX,CASH
2015-11-30,0.0,8.72381011841701e-17,0.0,0.0,0.5252756711153928,0.0,0.0,0.0,0.0,0.4747243288846074,0.0,0.0
2015-12-01,2.1255178264218636e-17,1.1726323638954266e-16,0.0,1.241075421026578e-17,0.6075534853817282,0.0,3.774135680558085e-17,0.0,7.628822793975003e-17,0.39244651461827174,0.0,0.0
2015-12-02,2.1365353287209975e-17,3.64708927105604e-18,5.863255241000434e-17,0.0,0.5204872239671021,0.0,1.0098480641544404e-16,2.7986541160813426e-17,6.282182170315758e-18,0.47951277603289766,0.0,0.0
2015-12-03,4.7228121490848576e-18,0.0,0.0,2.7711160113134057e-17,0.6155354029519171,0.0,2.6316940411715214e-16,0.0,6.225816494372884e-17,0.38446459704808267,2.0805911011775863e-16,0.0
2015-12-04,1.8397873025621024e-17,1.5914117670882655e-17,0.0,0.0,0.6457766157259657,1.3877787807814457e-17,1.7604404526303492e-17,4.4444604009321356e-18,1.7602209754236297e-17,0.3542233842740345,0.0,0.0
2015-12-07,2.1710139733395697e-16,6.9056850388395896e-18,2.3925934526636187e-17,2.5023177344028103e-17,0.600624669023092,1.877050350576466e-16,7.748393051370008e-17,8.41576018726912e-17,0.0,0.3993753309769076,0.0,0.0
2015-12-08,1.1108117740511971e-17,2.0632552216814893e-16,3.51881122423869e-17,0.0,0.5656270255644249,0.21948962228623203,0.0,2.800723151396625e-16,2.4338416033917914e-17,0.21488335214934265,0.0,0.0
2015-12-09,3.12539091848821e-16,3.4432188302336784e-16,0.0,4.5164309199055524e-17,0.5841199105586333,0.22613856002035002,0.0,2.5259700003275656e-16,0.0,0.18974152942101635,0.0,0.0
2015-12-10,2.0593010047954527e-16,1.693808658883835e-17,0.0,0.0,0.554987449226009,0.13528602306714205,1.648418713266831e-17,8.961047811885564e-17,0.0,0.30972652770684916,0.0,0.0
2015-12-11,1.469234092030305e-16,0.0,1.793329832354001e-16,1.0273766766504003e-16,0.7811091430441262,0.08239573830391671,8.040954265800602e-18,0.0,7.024480871295847e-17,0.13649511865195704,2.0983078224036372e-16,0.0
2015-12-14,3.229657629212625e-16,1.1235394861310716e-16,4.507099652500665e-17,1.4800069874145448e-16,0.8924246778792342,9.508143514054442e-16,1.8325743634755834e-16,5.573218729372043e-17,7.725868517793975e-17,0.10757532212076407,0.0,0.0
2015-12-15,2.0966047795451296e-16,1.1357173727480666e-16,0.0,0.0,0.5856143846917199,0.4143856153082802,4.732695268578296e-18,7.061097623328868e-17,8.928466890506637e-17,0.0,0.0,0.0
2015-12-16,0.0,2.1617289445159355e-17,1.225284378995456e-16,0.0,0.5697391051854029,0.4302608948145971,0.0,5.5250487106597886e-18,2.054742106114205e-17,0.0,2.706194095308773e-17,0.0
2015-12-17,0.0,0.0,1.4244480805532482e-16,1.0883932804152392e-16,0.45117204108654707,0.5128755868726037,2.6451925295200378e-17,0.0,1.356100031455907e-16,0.03595237204084906,6.362508369454307e-17,0.0
2015-12-18,0.0,2.4026484918327327e-16,1.485845447725714e-17,2.837981842829875e-17,0.4387388606390998,0.49849703690042374,0.0,5.619306092749993e-17,1.6659826884696003e-16,0.06276410246047609,1.7560814456592534e-18,0.0
2015-12-21,8.76014641686498e-17,0.0,1.9271234407911538e-17,0.0,0.4698033913644491,0.08028480414951503,4.469645974677437e-17,2.396681008811092e-16,5.0378148492624816e-17,0.4499118044860356,0.0,0.0
2015-12-22,1.464957920738914e-16,3.095121849771685e-16,5.284636498466505e-17,0.0,0.60649917556916,0.07258430150278575,2.3567034746696884e-18,0.0,1.136267285974157e-16,0.3209165229280543,0.0,0.0
2015-12-23,0.2237307785053969,1.0138620950409494e-16,1.2773293163518144e-17,3.408295492153358e-17,0.26190753455074406,0.16230276080976777,8.25682462644879e-17,0.2600582083943404,0.0,0.09200071773975092,0.0,0.0
2015-12-24,0.2520182429402484,0.0,0.0,0.0,0.29448936614634363,0.2180189275076966,0.0,0.20841127790691194,0.0,0.0,0.027062185498799726,0.0
2015-12-28,0.24336995352266327,6.158268339717665e-17,0.0,2.0316593459662746e-16,0.2597443721658971,0.2699955029646947,0.0,0.19233878640728105,0.0,5.187907395343139e-17,0.03455138493946386,0.0
2015-12-29,0.030457614734259304,0.0,7.417298112516457e-17,1.903723489612985e-16,0.28536148764567354,0.2572186672386092,9.063930161978817e-17,0.08222725999308592,0.0,2.2962046760527377e-16,0.3447349703883716,0.0
2015-12-30,0.0,1.993508982021941e-16,1.1697186188402986e-16,0.0,0.2898491853628054,0.13180459533214817,1.5937771935536915e-17,0.007765621929789295,1.6513076713312036e-16,0.0988188455203806,0.47176175185487645,0.0
2015-12-31,3.382710778154774e-17,0.0,3.1181654480683108e-16,3.4640259410911867e-16,0.36806869104280426,0.20413521372001467,6.852157730108388e-17,0.170057987863114,2.6020852139652106e-18,0.10933950692654318,0.14839860044752357,0.0
2016-01-04,0.0,3.0791341698588326e-17,4.6349642873755315e-18,8.023096076392733e-18,0.0,0.11467336228362716,5.926520125348889e-17,0.707517067576392,2.822991406609132e-17,1.441988889405721e-17,0.1778095701399807,0.0
2016-01-05,3.382710778154774e-17,1.8735013540549517e-16,0.0,0.0,8.955509944730267e-17,0.15075391622058745,0.0,0.8093368929200602,4.597017211338539e-17,0.0,0.03990919085935247,0.0
2016-01-06,5.551115123125783e-17,2.5413698923060224e-16,0.0,0.0,0.0,0.0,3.5561831257524545e-17,0.8482460062347394,0.0,0.142471968831445,0.009282024933816049,0.0
2016-01-07,0.0,0.0,5.681219383824043e-17,8.890457814381136e-18,0.0,2.96637714392034e-16,0.0,0.33710617536480386,0.0,0.30316798649365445,0.3597258381415415,0.0
2016-01-08,1.942890293094024e-16,0.0,1.231653667943533e-16,4.85722573273506e-17,1.1362438767648086e-16,0.0,0.0,1.0,6.938893903907228e-18,0.0,0.0,0.0
2016-01-11,0.0,0.0,9.020562075079397e-17,9.020562075079397e-17,0.0,0.0,7.042977312465837e-16,1.0,0.0,0.0,0.0,0.0
2016-01-12,2.1250362580715887e-17,1.700029006457271e-16,0.0,0.0,2.252972114424878e-16,1.0,0.0,0.0,0.0,9.072603779358701e-16,0.0,0.0
2016-01-13,3.152039558939292e-16,4.646759173652701e-16,2.0443171187530173e-16,1.1923025782829272e-16,3.669442526749874e-17,1.0,0.0,0.0,2.0900454618952224e-16,0.0,1.9408890344969008e-16,0.0
2016-01-14,0.0,0.0,0.0,0.0,0.0,0.9999999999999993,2.4681842015022012e-15,0.0,0.0,1.2906342661267445e-15,2.273304991031637e-15,0.0
2016-01-15,2.6275887397573046e-15,1.480513389963341e-15,2.7578795121385947e-15,2.465439409278972e-15,1.4114600475892554e-14,0.0,0.999999999999944,3.021629971846994e-14,1.6171203488623597e-15,2.1491848368680477e-15,3.8765924397250684e-14,0.0
2016-01-19,0.0,0.0,0.0,0.0,0.0,3.923235445680781e-14,1.1098760799299612e-14,0.9999999999999526,0.0,5.153520615256179e-16,3.784336105559622e-16,0.0
2016-01-20,1.0155344678792841e-16,0.0,0.0,0.0,0.0,1.3523904218715188e-14,0.9999999999999785,1.5989091546890248e-14,0.0,0.0,0.0,0.0
2016-01-21,5.242370699968661e-17,0.0,0.0,0.0,4.109692464429986e-17,4.464741947009393e-16,1.3183898417423734e-16,0.9999999999999997,0.0,0.0,1.4414652198552993e-16,0.0
2016-01-22,0.0,0.0,0.0,1.8881202737028695e-17,0.0,1.0323080029831106e-15,0.9999999999999978,4.919675777870225e-15,0.0,0.0,0.0,0.0
2016-01-25,1.0455827162895496e-16,1.3723449803925789e-16,1.7087000498337801e-18,0.0,0.0,1.3969755776615308e-15,0.9999999999999999,0.0,0.0,0.0,7.953880974079337e-16,0.0
2016-01-26,0.0,0.0,0.0,0.0,0.0,1.1674688993323912e-15,0.9999999999999991,0.0,0.0,1.0304257447302234e-15,9.992007221626409e-16,0.0
2016-01-27,1.5308934675495323e-16,1.0191500421363742e-16,6.938893903907228e-18,4.9439619065339e-17,8.847089727481716e-17,5.221517662690189e-16,1.0,1.0842021724855044e-16,1.8388068845354155e-16,0.0,1.1796119636642288e-16,0.0
2016-01-28,8.673617379884035e-18,0.0,0.0,1.8214596497756474e-17,0.0,5.915407053080912e-16,0.9999999999999991,4.7704895589362195e-17,0.0,5.585809592645319e-16,1.2559397966072083e-15,0.0
2016-01-29,2.140766353425908e-16,2.4267199670295357e-16,1.6402499892282073e-16,9.455499892892333e-17,0.0,0.0,1.0,2.488598263197143e-17,0.0,0.0,0.0,0.0
2016-02-01,8.800805114410063e-17,0.0,0.0,1.7073713021078394e-16,0.0,7.771561172376096e-16,0.9999999999999996,1.8888978352002007e-17,0.0,8.152339469739313e-17,0.0,0.0
2016-02-02,7.392053533217506e-17,3.246750789358133e-16,2.642898598008726e-16,0.0,9.918490272026956e-17,0.0,1.0,5.137723055678681e-16,3.192989084658788e-16,2.630295878826868e-16,0.0,0.0
2016-02-03,1.2795486298127083e-16,0.0,1.5444900817448786e-16,2.1814054398326142e-16,2.920078691182678e-16,6.38378239159465e-16,0.9999999999999997,0.0,5.199035562010965e-17,0.0,0.0,0.0
2016-02-04,0.0,2.4756119372999084e-16,0.0,0.0,2.9213195362363678e-18,0.0,1.0,0.0,2.2435086857750704e-17,0.0,8.128440465941991e-17,0.0
2016-02-05,2.2724877535296173e-16,1.2663481374630692e-16,4.423544863740858e-17,3.5648567431323386e-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,0.0,0.0,0.0,0.0,0.0,2.123301534595612e-15,0.9999999999999983,0.0,0.0,9.502253804793183e-16,1.7356092817088608e-15,0.0
2016-02-09,0.0,0.0,0.0,0.0,0.0,2.42861286636753e-15,0.9999999999999986,0.0,0.0,2.632443881339413e-16,2.117913907591763e-15,0.0
2016-02-10,4.327641521656981e-16,0.0,6.077243508321482e-17,0.0,2.8715303762783154e-16,7.771561172376096e-16,1.0,6.215378518682e-17,0.0,0.0,0.0,0.0
2016-02-11,0.0,0.0,0.0,0.0,0.0,2.7200464103316335e-15,1.0,0.0,0.0,0.0,7.620748131646789e-16,0.0
2016-02-12,0.0,0.0,0.0,0.0,0.0,2.0539125955565396e-15,0.9999999999999984,0.0,0.0,0.0,2.66882281988368e-15,0.0
2016-02-16,0.0,0.0,0.0,0.0,0.0,5.523359547510154e-15,0.9999999999999957,0.0,0.0,0.0,4.144702011632231e-15,0.0
2016-02-17,0.0,0.0,0.0,2.964002340223703e-16,1.3524012296481823e-16,1.27675647831893e-15,0.9999999999999996,0.0,0.0,3.32544929068046e-18,2.794654209530412e-16,0.0
2016-02-18,6.610032304297609e-16,4.776351904216715e-16,6.317635455074963e-16,3.258891039860625e-16,4.689089964841406e-16,0.0,1.0,1.8210031816820451e-16,6.752779958714848e-16,3.9800349493770673e-16,0.0,0.0
2016-02-19,5.664039027972307e-17,2.1282833907506863e-16,4.862236751763908e-16,2.573905421165647e-16,2.7058107552763884e-17,5.967448757360216e-16,0.9999999999999999,0.0,0.0,0.0,0.0,0.0
2016-02-22,0.0,0.0,0.0,7.300776491810821e-17,0.0,4.385380947269368e-15,0.9999999999999961,0.0,0.0,0.0,2.2122465158687696e-15,0.0
2016-02-23,0.0,0.0,0.0,0.0,0.0,9.298117831235686e-16,0.9999999999999999,0.0,0.0,0.0,6.00394459975006e-16,0.0
