,nav
2017-11-28,100000.0
2017-11-29,100409.48692509024
2017-11-30,101061.3057906171
2017-12-01,100971.58725924163
2017-12-04,101052.94587801772
2017-12-05,100420.32581558025
2017-12-06,100072.2884027955
2017-12-07,100307.94445998222
2017-12-08,100839.52963541026
2017-12-11,101127.85195955378
2017-12-12,101175.85778546905
2017-12-13,101265.27137008448
2017-12-14,100784.55329257123
2017-12-15,101406.74954761485
2017-12-18,102015.75040427507
2017-12-19,101461.83184826242
2017-12-20,101441.65638607976
2017-12-21,101673.7019452243
2017-12-22,101741.04634700445
2017-12-26,101806.06994298397
2017-12-27,101845.4558030614
2017-12-28,102119.378873327
2017-12-29,101762.18440506313
2018-01-02,102323.55480875036
2018-01-03,102555.1494530493
2018-01-04,102736.80065142162
2018-01-05,103101.86389119003
2018-01-08,103392.29722435039
2018-01-09,103268.08731224407
2018-01-10,102911.11358565031
2018-01-11,103648.08204455762
2018-01-12,104002.69415038306
2018-01-16,103550.89448753801
2018-01-17,104270.72627375732
2018-01-18,103909.07858608819
2018-01-19,104397.7184107628
2018-01-22,105193.68928772642
2018-01-23,105381.44360121424
2018-01-24,105346.5185691669
2018-01-25,105492.42901690486
2018-01-26,106167.01833670953
2018-01-29,105400.7890781805
2018-01-30,104544.97110233162
2018-01-31,104682.55923700782
2018-02-01,104443.08827676468
2018-02-02,102534.20298890217
2018-02-05,99147.79291552544
2018-02-06,100184.15106222218
2018-02-07,99833.18857361392
2018-02-08,96877.58049072986
2018-02-09,97918.59373257752
2018-02-12,99035.56261933577
2018-02-13,99258.1778794589
2018-02-14,100112.69381063085
2018-02-15,101239.3017473652
2018-02-16,101420.0406989458
2018-02-20,100608.8752601476
2018-02-21,99862.14967649558
2018-02-22,100058.40701782698
2018-02-23,101560.73474140685
2018-02-26,102311.0573649509
2018-02-27,100999.88434639253
2018-02-28,99936.66082622173
2018-03-01,99291.16967666379
2018-03-02,99692.72677099615
2018-03-05,100761.42367407616
2018-03-06,101021.85674412613
2018-03-07,100969.93468790766
2018-03-08,101271.97510827778
2018-03-09,102478.17110792438
2018-03-12,102440.12007146233
2018-03-13,102018.63792680147
2018-03-14,101564.07296962886
2018-03-15,101295.09772073782
2018-03-16,101695.35745347102
2018-03-19,100628.83648003286
2018-03-20,100599.01993156334
2018-03-21,100708.44371589171
2018-03-22,98858.94576510956
2018-03-23,97281.39591901314
2018-03-26,99057.48568355636
2018-03-27,98135.92254557344
2018-03-28,98143.53867791749
2018-03-29,99140.81758248163
2018-04-02,97233.82841046742
2018-04-03,98320.81177949945
2018-04-04,99245.19234512663
2018-04-05,100028.01574371263
2018-04-06,98368.48554689875
2018-04-09,98545.6567949957
2018-04-10,99962.71097800885
2018-04-11,99729.87360631225
2018-04-12,99988.8042114326
2018-04-13,99998.36534594015
2018-04-16,100879.83802028646
2018-04-17,101707.98588180068
2018-04-18,101919.06095167693
2018-04-19,101275.11125730915
2018-04-20,100612.9590305262
2018-04-23,100625.24605431872
2018-04-24,99835.59840477763
2018-04-25,100088.87165845346
2018-04-26,100743.70723463882
2018-04-27,100952.74249028013
2018-04-30,100079.86095882702
2018-05-01,99987.33057265807
2018-05-02,99570.82493957586
2018-05-03,99362.6481262672
2018-05-04,100378.59079104658
2018-05-07,100571.54233037443
2018-05-08,100318.79601302811
2018-05-09,100963.0218496284
2018-05-10,101807.3585459969
2018-05-11,101970.87941876792
2018-05-14,101897.66183692368
2018-05-15,101365.62444371669
2018-05-16,101752.67039303348
2018-05-17,101784.77681943346
2018-05-18,101647.31603317271
2018-05-21,102326.10525547632
2018-05-22,102001.79961415965
2018-05-23,102178.613869739
2018-05-24,102013.76984032468
2018-05-25,101727.10213705357
2018-05-29,101034.3167941993
2018-05-30,102363.30517300528
2018-05-31,101659.37266905869
2018-06-01,102280.38894856232
2018-06-04,102591.27284344623
2018-06-05,102645.54422671888
2018-06-06,103164.30234362162
2018-06-07,103323.204844082
2018-06-08,103618.99180892171
2018-06-11,103757.26771675545
2018-06-12,103995.35641689596
2018-06-13,103398.52462492818
2018-06-14,103792.91545589635
2018-06-15,103756.05225753092
2018-06-18,103685.79569363527
2018-06-19,103497.78527494735
2018-06-20,103728.77578428164
2018-06-21,103131.96767316484
2018-06-22,103592.8226992785
2018-06-25,102639.22927692113
2018-06-26,102900.88621967871
2018-06-27,102342.48158517345
2018-06-28,102812.48179208825
2018-06-29,102914.78770221554
2018-07-02,102949.53630052891
2018-07-03,102873.7682035299
2018-07-05,103698.87784765114
2018-07-06,104401.87150444523
2018-07-09,104853.18284726451
2018-07-10,105217.85215697181
2018-07-11,104526.70030549676
2018-07-12,105042.09069873558
2018-07-13,105097.46659344611
2018-07-16,104813.86835483885
2018-07-17,105123.23788349927
2018-07-18,105173.72411476115
2018-07-19,105086.72290922956
2018-07-20,104825.39303088009
2018-07-23,104777.01586755163
2018-07-24,105043.8572819689
2018-07-25,105706.13365819173
2018-07-26,105840.23723235042
2018-07-27,105235.6809682746
2018-07-30,104881.47917725482
2018-07-31,105486.7673974507
2018-08-01,105184.26227166153
2018-08-02,105563.40003347558
2018-08-03,106025.61903384805
2018-08-06,106367.0998587666
2018-08-07,106548.79251086987
2018-08-08,106342.4562273546
2018-08-09,106346.22551299786
2018-08-10,105796.27124503009
2018-08-13,105368.13936357615
2018-08-14,105995.66316994705
2018-08-15,105279.42575467753
2018-08-16,106074.00677399781
2018-08-17,106487.47142928725
2018-08-20,106756.65110908322
2018-08-21,106944.88180566058
2018-08-22,106854.12558656979
2018-08-23,106584.35640482623
2018-08-24,107177.50356553533
2018-08-27,107677.51647890854
2018-08-28,107704.58986714415
2018-08-29,108169.73548090737
2018-08-30,107710.24195191413
2018-08-31,107667.2397817334
2018-09-04,107423.48372914562
2018-09-05,107420.9159877235
2018-09-06,107142.26465003389
2018-09-07,106833.57680662026
2018-09-10,107058.23755302595
2018-09-11,107335.01770994191
2018-09-12,107457.97472009536
2018-09-13,107834.36420762942
2018-09-14,107855.596721021
2018-09-17,107540.6050801469
2018-09-18,107900.7371159472
2018-09-19,107769.3579026631
2018-09-20,108470.25682061385
2018-09-21,108429.2986401471
2018-09-24,107965.55741524058
2018-09-25,107802.16384917957
2018-09-26,107308.00227979933
2018-09-27,107523.6783753397
2018-09-28,107679.23982195352
2018-10-01,107770.86114612906
2018-10-02,107790.14598601937
2018-10-03,107721.36184030924
2018-10-04,107051.8529356349
2018-10-05,106666.51624421327
2018-10-08,106854.1151611616
2018-10-09,106572.80377558888
2018-10-10,103972.97931990644
2018-10-11,101952.60156917221
2018-10-12,102770.99988744977
2018-10-15,102600.35983815753
2018-10-16,104405.36111083448
2018-10-17,104260.04828375243
2018-10-18,103186.24365904272
2018-10-19,103193.99626191563
2018-10-22,102662.81621590228
2018-10-23,102065.1967717953
2018-10-24,99785.79002526167
2018-10-25,101104.65290503293
2018-10-26,99600.9641427344
2018-10-29,99275.87608805472
2018-10-30,100770.87066757945
2018-10-31,101368.37021543666
2018-11-01,102417.7744007271
2018-11-02,102027.37204299033
2018-11-05,102676.41844259454
2018-11-06,103254.5120738022
2018-11-07,104888.40705615154
2018-11-08,104510.13734090832
2018-11-09,103768.11578029019
2018-11-12,102369.23765922719
2018-11-13,102080.79638387516
2018-11-14,101582.77105991915
2018-11-15,102348.99407699949
2018-11-16,102740.00330249817
2018-11-19,101617.00213198361
2018-11-20,100007.99605293966
2018-11-21,100405.07472116478
2018-11-23,99835.7323873975
2018-11-26,100996.85937390265
2018-11-27,101081.07837507587
2018-11-28,102792.63058517645
2018-11-29,102743.3701503465
2018-11-30,103365.38962473387
2018-12-03,104427.39375290944
2018-12-04,101702.65646956461
2018-12-06,101556.97338744643
2018-12-07,99848.60551783003
2018-12-10,99718.67661008138
2018-12-11,99699.43994544038
2018-12-12,100028.31838053421
2018-12-13,99890.69276537285
2018-12-14,98563.36257683151
2018-12-17,96498.48317545131
2018-12-18,96398.03009658161
2018-12-19,95137.04991469783
2018-12-20,93816.94827770926
2018-12-21,92254.03705342617
2018-12-24,89942.97765358613
2018-12-26,93720.86152230328
2018-12-27,94386.57670066305
2018-12-28,94300.71946449866
2018-12-31,94948.36637788077
