,nav
2012-11-29,100000.0
2012-11-30,100095.22085702469
2012-12-03,99704.05941215056
2012-12-04,99632.46516095973
2012-12-05,99815.21982724339
2012-12-06,100127.18873786002
2012-12-07,100430.20998486766
2012-12-10,100506.44761370581
2012-12-11,101054.04093347912
2012-12-12,101066.11914992006
2012-12-13,100579.5690303143
2012-12-14,100384.63598124078
2012-12-17,101352.75280922148
2012-12-18,102375.01314504714
2012-12-19,101853.82539007594
2012-12-20,102375.50505037652
2012-12-21,101683.77154974776
2012-12-24,101455.44136371532
2012-12-26,101055.10328094136
2012-12-27,100995.15057890062
2012-12-28,100100.52279424507
2012-12-31,101564.84530422903
2013-01-02,103709.16158952742
2013-01-03,103633.20030123329
2013-01-04,104234.20802132691
2013-01-07,103960.87078644178
2013-01-08,103645.0880207024
2013-01-09,103985.29630166056
2013-01-10,104498.8193901969
2013-01-11,104498.82596932657
2013-01-14,104461.5384859313
2013-01-15,104635.340209991
2013-01-16,104395.3322083136
2013-01-17,105089.98371839155
2013-01-18,105490.89963752206
2013-01-22,106066.58565055086
2013-01-23,106061.52229031302
2013-01-24,106283.38795426286
2013-01-25,106785.06272892296
2013-01-28,106634.90928737701
2013-01-29,107139.79873947657
2013-01-30,106637.64008250447
2013-01-31,106544.17892887232
2013-02-01,107443.63087267974
2013-02-04,106479.43701720543
2013-02-05,107204.41023305301
2013-02-06,107370.1064581411
2013-02-07,107194.83634710794
2013-02-08,107707.97862130558
2013-02-11,107642.52551659271
2013-02-12,107905.95324521158
2013-02-13,108016.59534583139
2013-02-14,107935.90588963577
2013-02-15,107871.45493861598
2013-02-19,108577.4837309871
2013-02-20,107300.85045774409
2013-02-21,106666.18543128615
2013-02-22,107605.03725430902
2013-02-25,105881.67755916448
2013-02-26,106462.88646290064
2013-02-27,107605.65113706031
2013-02-28,107587.20172815477
2013-03-01,107721.9923571997
2013-03-04,108218.25026720254
2013-03-05,109082.58650695012
2013-03-06,109210.80989990443
2013-03-07,109375.88833970098
2013-03-08,109888.03849763563
2013-03-11,110138.38485281807
2013-03-12,109978.9482315934
2013-03-13,110149.5639303949
2013-03-14,110740.34384184764
2013-03-15,110652.52023879232
2013-03-18,110147.43566926339
2013-03-19,109921.46996114023
2013-03-20,110596.3109200669
2013-03-21,109848.15600462642
2013-03-22,110373.43304084093
2013-03-25,110137.15455997085
2013-03-26,110888.39198054094
2013-03-27,110925.45148178634
2013-03-28,111399.82162135841
2013-04-01,110933.3901232345
2013-04-02,111130.95536738288
2013-04-03,110183.58867266611
2013-04-04,110785.97765320659
2013-04-05,110654.92300222215
2013-04-08,111373.96476711867
2013-04-09,111665.68147698132
2013-04-10,112809.96752056638
2013-04-11,113235.62298155746
2013-04-12,113102.74040309798
2013-04-15,110520.55020060767
2013-04-16,111942.85501979213
2013-04-17,110557.33436868722
2013-04-18,110229.15189168452
2013-04-19,111307.18450497158
2013-04-22,111707.73660461397
2013-04-23,112685.96888088483
2013-04-24,112776.0935601628
2013-04-25,113281.04501318623
2013-04-26,112993.56396635876
2013-04-29,113721.21506471378
2013-04-30,114107.96868629317
2013-05-01,112915.24844011896
2013-05-02,113806.74451775664
2013-05-03,114830.84813830385
2013-05-06,114942.68364702506
2013-05-07,115665.7394686821
2013-05-08,116064.24365128051
2013-05-09,115515.55641609266
2013-05-10,116004.87550975978
2013-05-13,115925.87762384625
2013-05-14,117001.27178755181
2013-05-15,117626.87409119985
2013-05-16,117039.1828190595
2013-05-17,118061.30034428733
2013-05-20,118026.01617183846
2013-05-21,118212.4777039756
2013-05-22,116892.08197770115
2013-05-23,116537.7576396682
2013-05-24,116298.65255641977
2013-05-28,116714.16117325114
2013-05-29,115646.6907409728
2013-05-30,115913.40933634184
2013-05-31,114474.29318854302
2013-06-03,115000.5237681736
2013-06-04,114419.41791858326
2013-06-05,113033.56530500851
2013-06-06,114099.11916790158
2013-06-07,115175.47680087935
2013-06-10,115174.98716892014
2013-06-11,114105.65021080313
2013-06-12,113238.06893453069
2013-06-13,114968.94107589503
2013-06-14,114571.99152394959
2013-06-17,115109.59053899601
2013-06-18,115971.29032889332
2013-06-19,114288.66431820636
2013-06-20,111485.44570894405
2013-06-21,111857.0620258054
2013-06-24,110758.25098262922
2013-06-25,111902.65543914802
2013-06-26,112871.49394255351
2013-06-27,113759.4674734143
2013-06-28,113454.93585363521
2013-07-01,113844.16906932445
2013-07-02,113931.65816630884
2013-07-03,113921.7182263358
2013-07-05,114798.14810085726
2013-07-08,115380.37479898213
2013-07-09,116340.36493040323
2013-07-10,116422.41199017182
2013-07-11,118004.07391745687
2013-07-12,118118.65773368852
2013-07-15,118652.50137337457
2013-07-16,118254.36745392742
2013-07-17,118578.33647054121
2013-07-18,119208.1993563133
2013-07-19,119458.58032960522
2013-07-22,119679.66463745353
2013-07-23,119614.38305415337
2013-07-24,118764.80622120814
2013-07-25,119232.97672460675
2013-07-26,119229.13498252166
2013-07-29,118860.8190033232
2013-07-30,118907.37622269211
2013-07-31,118722.10619636267
2013-08-01,119847.55646267846
2013-08-02,119879.05772802784
2013-08-05,119790.61187410314
2013-08-06,119063.34214010846
2013-08-07,118786.4797551822
2013-08-08,119243.89501046826
2013-08-09,119071.02892653181
2013-08-12,118923.47573014257
2013-08-13,118805.59348851361
2013-08-14,118286.65150414147
2013-08-15,116766.4865798853
2013-08-16,116115.87739795978
2013-08-19,115239.95172292956
2013-08-20,116115.82976361043
2013-08-21,115409.29432212419
2013-08-22,116354.25484165718
2013-08-23,116931.17296720804
2013-08-26,116581.13241810272
2013-08-27,115093.86658162352
2013-08-28,115259.36448206486
2013-08-29,115557.94290848127
2013-08-30,115007.1652007552
2013-09-03,115110.14716906351
2013-09-04,115964.47804592378
2013-09-05,115952.81695566008
2013-09-06,116162.54364203342
2013-09-09,117371.49028606486
2013-09-10,118169.13169048967
2013-09-11,118503.72749889402
2013-09-12,118125.78400849795
2013-09-13,118531.03044027144
2013-09-16,119105.15266521697
2013-09-17,119574.13883260789
2013-09-18,121259.81475107267
2013-09-19,121086.94519039351
2013-09-20,120082.79785654874
2013-09-23,119740.36885411786
2013-09-24,119559.30997086532
2013-09-25,119409.24014831391
2013-09-26,119856.80021651194
2013-09-27,119371.26829041245
2013-09-30,118806.30204438965
2013-10-01,119740.67398734063
2013-10-02,119654.35143389407
2013-10-03,118638.55131709758
2013-10-04,119253.78508264988
2013-10-07,118574.64959939333
2013-10-08,117291.8256876174
2013-10-09,117287.50813034183
2013-10-10,119594.32448577312
2013-10-11,120395.58846909118
2013-10-14,120733.19703765649
2013-10-15,119951.20182867494
2013-10-16,121460.27054209777
2013-10-17,122563.91298518621
2013-10-18,123259.37463250893
2013-10-21,123116.02234993468
2013-10-22,123936.73922179504
2013-10-23,123522.4323621401
2013-10-24,123889.36466362026
2013-10-25,124444.50366219899
2013-10-28,124421.69690600305
2013-10-29,124874.04523187976
2013-10-30,124168.14452376247
2013-10-31,123820.67039326915
2013-11-01,123993.03255778355
2013-11-04,124582.12769081803
2013-11-05,124018.66172451746
2013-11-06,124385.26622285148
2013-11-07,122761.48936527886
2013-11-08,123922.88709633623
2013-11-11,123941.95512252547
2013-11-12,123651.05639134297
2013-11-13,124457.183672377
2013-11-14,125033.97908185257
2013-11-15,125522.74078134878
2013-11-18,125054.4550877513
2013-11-19,124647.82421881365
2013-11-20,124076.65529242138
2013-11-21,125019.06255067665
2013-11-22,125410.00166047472
2013-11-25,125115.1831864119
2013-11-26,125122.86921136998
2013-11-27,125393.0740329841
2013-11-29,125239.52191059134
2013-12-02,124736.49719161118
2013-12-03,124447.6202105321
2013-12-04,124455.13696086482
2013-12-05,124085.26829270092
2013-12-06,125241.83082951757
2013-12-09,125371.01734545511
2013-12-10,124925.77352270286
2013-12-11,123429.51210387259
2013-12-12,123191.460552592
2013-12-13,123354.19762162506
2013-12-16,124029.44965006437
2013-12-17,123865.91318265875
2013-12-18,125609.80974189067
2013-12-19,125370.6473346357
2013-12-20,126193.44174509849
2013-12-23,126652.76616386227
2013-12-24,127114.29991387558
2013-12-26,127505.19155612329
2013-12-27,127693.25430074603
2013-12-30,127659.9205706492
2013-12-31,127964.21650813693
