,VAW,VDE,VFH,VIS,VGT,VDC,VPU,VHT,VCR,VNQ,VOX,CASH
2012-11-30,0.07409644402109784,0.10808456388887468,0.0954958419922746,0.10311103495774966,0.06463751855448886,0.06665004247118778,0.09886371657409498,0.08464928667738596,0.0865065790098215,0.05841625852359165,0.07786346706752591,0.08162524626190655
2012-12-03,0.0818767768792582,0.08688296041590346,0.08843912797069194,0.09322379405638723,0.08013218186782307,0.07859064602874886,0.08609426235517187,0.07995918175293527,0.08686492480316274,0.08222415350961525,0.07901883227216534,0.07669315808813665
2012-12-04,0.0805762239455108,0.08424256295597178,0.08786538353454951,0.09210973793727426,0.08246547827955673,0.08028604135563104,0.08467794917625118,0.07819844639882174,0.08878545050688617,0.08468241839181732,0.07873142448712825,0.07737888303060132
2012-12-05,0.08254878033777871,0.09255094160397333,0.08970153838134248,0.0873097003152826,0.0766966012939226,0.07697810512959516,0.08775253201367315,0.07943997005797922,0.0841975502050896,0.08574106670617986,0.07945176194896311,0.07763145200622017
2012-12-06,0.08556994694135416,0.08961202179399291,0.09029888574853112,0.08832096776254858,0.07840280102651144,0.07656088881201308,0.08910935441509577,0.07831005317606551,0.08601462719502521,0.08352981601037937,0.07836401162201631,0.07590662549646633
2012-12-07,0.08507443273304795,0.08211943903604589,0.08691468854199866,0.0897288499852479,0.08369812777816306,0.08048134364648307,0.08603020047266131,0.07687582088067187,0.08776035014243828,0.08456078234619342,0.0795227537689676,0.077233210668081
2012-12-10,0.0868240699268836,0.08820626599651,0.08672075103119398,0.09053838261996348,0.08029453264006267,0.07858826816018993,0.08631764167438691,0.07766823929171919,0.08566654924487885,0.08215607301766903,0.08018437282067956,0.07683485357586281
2012-12-11,0.08434229734106961,0.09273486644480967,0.08903751622136213,0.09054525433076228,0.07739936480973941,0.0753869934100446,0.09013619684991346,0.07875426864062385,0.0855502252634325,0.07910295414211078,0.0796310520944753,0.07737901045165639
2012-12-12,0.08079061405432757,0.08862981363165581,0.09132712626230602,0.08980066663597945,0.0799778425398128,0.07627107775582152,0.08588056003568256,0.07820878104690548,0.08685557524938757,0.08275115207494076,0.08060015309964676,0.0789066376135338
2012-12-13,0.08747382343277003,0.0927686775165447,0.08973862732030471,0.08649642472218774,0.07924828279979229,0.07579808364224128,0.08755681246065987,0.075609614514099,0.08567788737180132,0.08008879379437715,0.07970709025509103,0.0798358821701309
2012-12-14,0.08335585941587183,0.08681309387893568,0.08826968968202464,0.08588857758303535,0.08215003661250186,0.07872562768630549,0.08640853228493772,0.07435701378670623,0.08708735006085451,0.0837967161022357,0.08014047178099215,0.08300703112559904
2012-12-17,0.08243983185284992,0.08642477162625088,0.08979427302470051,0.08991452408697828,0.08101612978747068,0.07905921433671408,0.083708301501351,0.07756808813920331,0.0871429857881485,0.08516054149374144,0.08046216432958984,0.0773091740330016
2012-12-18,0.08721947977147382,0.09404685315596456,0.08883624633771726,0.0926192167271344,0.07393441918842139,0.07580342951049823,0.08672013982370294,0.07934944741164121,0.08701955367073345,0.07612726523528876,0.08235222931073684,0.07597171985668712
2012-12-19,0.08282727130155858,0.08810396973825116,0.08698550795004084,0.09753107382953202,0.07607885437045382,0.0783149276865404,0.08680841409576096,0.07872263815253183,0.09127373323387639,0.07293564113208331,0.08165471797619746,0.07876325053317322
2012-12-20,0.086891218156781,0.08330625164703992,0.0865239517310394,0.09124750194199405,0.08199986745427139,0.08136326886037862,0.08446504223702801,0.07691749630767075,0.0893655054511831,0.08027143192735448,0.07953227716861493,0.07811618711664439
2012-12-21,0.08772106329443875,0.08816341663033071,0.08480480692337233,0.08949436515619585,0.08015592846297327,0.07923824838448573,0.08523112637700204,0.07753892446595853,0.08778000235173927,0.08078199154585378,0.08146869864231884,0.07762142776533079
2012-12-24,0.0879477527375346,0.08754123370731906,0.08584451291115384,0.08944373222386703,0.07922596111342758,0.07852114767688806,0.08703050598230415,0.07699184356534068,0.08754343339080556,0.08000425798453084,0.0818989252600684,0.07800669344676009
2012-12-26,0.08740876376711683,0.08329614859557082,0.08465760362930161,0.08902751210035202,0.08326807500018521,0.0807401199401402,0.08370425851467113,0.0757356490845327,0.0879558249547627,0.0833807139705834,0.08252817736930784,0.07829715307347547
2012-12-27,0.08527728765600348,0.08893308923744343,0.08807379425967661,0.09019220470400255,0.08101882907810247,0.07772061872006046,0.08416197182046165,0.07544361841535072,0.08867741798982849,0.07888497701187071,0.08132872824345495,0.0802874628637445
