,nav
2014-11-25,100000.0
2014-11-26,100312.23169639031
2014-11-28,99779.24869864603
2014-12-01,99069.6386441848
2014-12-02,99584.24901590597
2014-12-03,99984.4344019535
2014-12-04,99827.17156219622
2014-12-05,99836.82620813858
2014-12-08,99113.05180546414
2014-12-09,99266.04999274254
2014-12-10,97644.84230392687
2014-12-11,98100.35313225105
2014-12-12,96600.33184470805
2014-12-15,95891.0975261921
2014-12-16,95449.19278881428
2014-12-17,97569.03017550767
2014-12-18,98483.6537915935
2014-12-19,98996.15383660585
2014-12-22,99464.02630150868
2014-12-23,99722.37542702784
2014-12-24,99813.85771456361
2014-12-26,100221.23991779114
2014-12-29,100504.41576970575
2014-12-30,99933.26474715171
2014-12-31,98885.84010274748
2015-01-02,99018.16291776572
2015-01-05,97392.43179725247
2015-01-06,96701.40450418898
2015-01-07,97786.85437589644
2015-01-08,99329.70322545276
2015-01-09,98661.88466366546
2015-01-12,98169.45233921977
2015-01-13,97983.0790376848
2015-01-14,97695.13435136151
2015-01-15,97043.56033924353
2015-01-16,98383.63677758566
2015-01-20,98396.43489713967
2015-01-21,98927.59364533152
2015-01-22,100218.53169215155
2015-01-23,99632.78185130293
2015-01-26,100086.54961261431
2015-01-27,99275.53397516107
2015-01-28,97939.16814615257
2015-01-29,98704.77832761528
2015-01-30,97415.31940788018
2015-02-02,98517.38080426917
2015-02-03,100036.59551855968
2015-02-04,99569.06812339676
2015-02-05,100726.07727665396
2015-02-06,99996.8428840999
2015-02-09,99531.29076168593
2015-02-10,100462.66872279708
2015-02-11,100281.75646910598
2015-02-12,101169.84381252927
2015-02-13,101462.46993843859
2015-02-17,101540.36280327779
2015-02-18,101778.1542720974
2015-02-19,101421.50674768985
2015-02-20,101958.82877455917
2015-02-23,101965.32455594513
2015-02-24,102035.00266291016
2015-02-25,101985.4666877308
2015-02-26,101596.04408087763
2015-02-27,101468.60573314018
2015-03-02,101780.78561847084
2015-03-03,101514.79509324994
2015-03-04,101019.1665266529
2015-03-05,101155.65776816291
2015-03-06,99395.3802862523
2015-03-09,99707.2569982477
2015-03-10,98422.28791085251
2015-03-11,98363.92772276752
2015-03-12,99632.61106747347
2015-03-13,99020.34294187582
2015-03-16,100159.18702578751
2015-03-17,99913.79813836378
2015-03-18,101386.04985989268
2015-03-19,100891.05354431726
2015-03-20,101937.27598768471
2015-03-23,101869.59200938184
2015-03-24,101230.78206207832
2015-03-25,99908.66373320577
2015-03-26,99649.32675354829
2015-03-27,99912.37975328781
2015-03-30,101177.79050675797
2015-03-31,100489.09520632672
2015-04-01,100307.20804498429
2015-04-02,100803.14735714652
2015-04-06,101571.04721527096
2015-04-07,101066.55340600805
2015-04-08,101288.54629361069
2015-04-09,101394.91194263421
2015-04-10,101818.51479429935
2015-04-13,101372.32507835503
2015-04-14,101630.52043390273
2015-04-15,102116.8866073627
2015-04-16,101995.78324705751
2015-04-17,100991.00621743011
2015-04-20,101808.4888054568
2015-04-21,101615.39445707857
2015-04-22,102004.49640816337
2015-04-23,102420.25700221359
2015-04-24,102561.00406405081
2015-04-27,102072.16652443499
2015-04-28,102425.36124562101
2015-04-29,101928.20186048471
2015-04-30,100772.67876056896
2015-05-01,101660.99097401004
2015-05-04,101892.0921859704
2015-05-05,100511.2374257093
2015-05-06,100189.23667431627
2015-05-07,100545.89259543995
2015-05-08,101702.87099801966
2015-05-11,101145.86465471303
2015-05-12,100991.6255436335
2015-05-13,100778.04130337367
2015-05-14,101813.58603775366
2015-05-15,102172.84620235133
2015-05-18,102457.2663410962
2015-05-19,102188.96550914667
2015-05-20,102217.0708307742
2015-05-21,102395.85836802905
2015-05-22,102151.68308073709
2015-05-26,101198.7540346986
2015-05-27,102000.04905429056
2015-05-28,101874.78306034206
2015-05-29,101316.94030761383
2015-06-01,101464.18302108947
2015-06-02,101362.99689287273
2015-06-03,101393.77220609775
2015-06-04,100567.24999350471
2015-06-05,100301.44031249125
2015-06-08,99799.49974169757
2015-06-09,99693.52434074473
2015-06-10,100731.85346499237
2015-06-11,101041.98274633937
2015-06-12,100473.83173321029
2015-06-15,99990.00211694023
2015-06-16,100575.58485701855
2015-06-17,100848.04785450702
2015-06-18,101862.67980937286
2015-06-19,101389.58095071808
2015-06-22,101740.60313620219
2015-06-23,101715.7982597581
2015-06-24,100928.08155904074
2015-06-25,100569.39042710532
2015-06-26,100610.42550732318
2015-06-29,98680.42086689935
2015-06-30,98873.5751093387
2015-07-01,99403.04917827001
2015-07-02,99455.86799229056
2015-07-06,99130.57803487314
2015-07-07,99892.1532030538
2015-07-08,98416.43645579512
2015-07-09,98466.6542728061
2015-07-10,99579.20626533477
2015-07-13,100410.45206152715
2015-07-14,100860.98628021531
2015-07-15,100543.26716659697
2015-07-16,101267.34585300379
2015-07-17,100939.52455728163
2015-07-20,100788.53266109023
2015-07-21,100270.88494676602
2015-07-22,100130.54181014549
2015-07-23,99411.66806781225
2015-07-24,98438.31070385726
2015-07-27,97967.27902401611
2015-07-28,99107.72240251384
2015-07-29,99851.64381875974
2015-07-30,99993.25709056265
2015-07-31,100052.57458468775
2015-08-03,99788.44905864369
2015-08-04,99486.93799786075
2015-08-05,99673.09426942468
2015-08-06,99193.52114000983
2015-08-07,98831.64053366045
2015-08-10,100075.53304161446
2015-08-11,99538.80175809802
2015-08-12,99769.14324547714
2015-08-13,99599.62777993332
2015-08-14,100080.58390556068
2015-08-17,100707.71061724967
2015-08-18,100444.96531941259
2015-08-19,99604.77000782956
2015-08-20,97759.66030988541
2015-08-21,95292.61532683464
2015-08-24,91426.73939772682
2015-08-25,90012.39778931106
2015-08-26,92850.48154547025
2015-08-27,95140.50352606081
2015-08-28,95343.49528747272
2015-08-31,94617.11502188517
