,value
cumulative_return,-0.12138555104100857
annual_return,-0.1125956657370688
annual_volatility,0.14994399838421127
sharpe_ratio,-0.7212779595952606
sortino_ratio,-0.8360795039298056
max_drawdown,-0.20736044673104936
calmar_ratio,-0.5429949033776322
