Date,VAW,VDE,VFH,VIS,VGT,VDC,VPU,VHT,VCR,VNQ,VOX,CASH
2012-11-30,2.8157634250605924e-16,1.0469474782267159e-16,0.0,0.0,0.0,2.102484262863285e-16,0.0,0.11573270427083765,0.8842672957291624,0.0,9.263141038925797e-17,0.0
2012-12-03,7.930746963583808e-16,1.278615512433742e-16,0.0,0.0,6.5979933663990324e-18,4.0915314691283404e-16,1.2980429780517222e-16,0.0,1.0,2.9655847534642574e-17,1.4725662630293596e-16,0.0
2012-12-04,2.876776660258875e-16,0.0,0.0,0.0,8.198854628540287e-17,0.0,9.172665325720201e-17,0.004695259158609778,0.9953047408413903,1.5070834555486799e-16,2.2483681750107813e-17,0.0
2012-12-05,0.0,2.85285785478193e-16,0.0,0.4199201926628881,0.0,0.0,0.0,0.09689571018402283,0.4831840971530889,3.526815453628766e-17,2.0066721235156727e-16,0.0
2012-12-06,3.326710429677491e-16,8.24171856227293e-16,0.0,0.295569800528674,0.0,0.17276689732851125,6.349694652413983e-16,0.5316633021428123,8.254555779188846e-17,3.928231239402485e-16,5.200857387341851e-16,0.0
2012-12-07,2.2214589853361804e-16,1.8836265781154827e-16,3.53519301612107e-16,0.4501815571738095,1.2627134697212888e-16,0.03636971873048725,0.0,0.5134487240957,2.4395937546848603e-15,0.0,1.1778229633124912e-16,0.0
2012-12-10,0.0,0.0,0.0,0.11504731435407785,0.0,0.7281789023193743,0.0,0.15677378332654987,0.0,4.133310697089002e-17,2.0972844903881895e-16,0.0
2012-12-11,2.883833213868197e-16,1.221513218774654e-16,2.7310393709322365e-16,0.0,1.165037038828637e-16,0.7162270658734446,2.8294590606213913e-16,0.2837729341265555,0.0,2.626528040162328e-16,1.6356070439353154e-16,0.0
2012-12-12,0.0,0.0,1.3607014719185188e-16,2.4377629388013454e-15,0.0,0.0,0.0,0.9999999999999982,2.244408184246454e-16,0.0,0.0,0.0
2012-12-13,1.9020045487948447e-16,8.249511264560154e-17,0.0,0.0,0.0,1.6202317265623378e-15,0.0,0.9999999999999982,7.66924929094172e-17,0.0,3.4621048427427787e-16,0.0
2012-12-14,0.0,4.1571127322926387e-17,0.0,0.0,5.951282636210427e-17,0.5747139714988515,0.0,0.4252860285011501,0.0,0.0,2.0050760904901232e-16,0.0
2012-12-17,2.057716004949963e-16,0.0,0.0,0.999999999999998,0.0,2.192690473634684e-15,9.299457360669848e-17,0.0,1.7338264130096504e-16,0.0,0.0,0.0
2012-12-18,0.0,6.978326898601777e-17,0.0,0.9493843361738802,0.0,3.50736409941328e-18,0.0,0.050615663826120934,0.0,0.0,2.1477439204796035e-18,0.0
2012-12-19,0.0,8.472292180010763e-17,4.718447854656915e-16,1.0,0.0,0.0,4.109225034013314e-19,0.0,7.970943764069987e-18,0.0,0.0,0.0
2012-12-20,1.1133699444622881e-16,0.0,4.163336342344337e-17,1.0,0.0,1.0444196213536363e-16,1.2563408552494294e-16,7.973430804068426e-17,0.0,9.367146616954167e-17,0.0,0.0
2012-12-21,0.0,0.0,0.22157915544621135,0.7784208445537882,0.0,5.3936104334347816e-17,3.605193656569219e-17,4.9036448922513227e-17,6.958861061309702e-17,8.972934319189294e-17,1.1425858204591186e-17,0.0
2012-12-24,0.0,0.0,0.021654726345677108,0.9383340113196856,1.4274325980129536e-16,0.0,0.0,0.0,1.9643710742981662e-16,0.04001126233463713,3.157733180771332e-16,0.0
2012-12-26,0.0,0.0,0.28013091743707325,0.7182710517362646,0.0,1.7164170220757405e-16,1.6409054916753668e-17,3.2241070938910155e-16,2.2927253395807327e-16,0.0015980308266621433,0.0,0.0
2012-12-27,0.0,2.2298608751980747e-16,0.4072501221799892,0.5927498778200125,8.909184944358205e-17,4.878737069058658e-17,7.900657074175599e-17,0.0,0.0,0.0,1.1204397953440807e-16,0.0
2012-12-28,1.4731599211313988e-15,0.0,0.2761937777433486,0.6644164904515476,7.923442514502951e-17,7.892916258193319e-17,2.0190147838261497e-17,1.1723909197623481e-16,3.1775742133151776e-16,0.05938973180510172,2.7908626906762e-17,0.0
2012-12-31,0.0,0.0,0.21252974719346893,0.3195510433174698,0.0,1.902481406437863e-16,3.306356594219259e-17,6.653763737755937e-17,0.0,0.46791920948906246,0.0,0.0
2013-01-02,0.0,7.620303482374876e-17,0.03929856418336995,0.7902222532083898,1.2702591239428313e-16,0.0,0.0,0.0,0.0,0.1704791826082407,2.5402983529403414e-16,0.0
2013-01-03,2.164831072972899e-16,0.0,0.09893067404989009,0.7512663823287092,0.0,0.0,0.0,0.0,1.1380239032531298e-16,0.14980294362140062,0.0,0.0
2013-01-04,1.221225654402561e-16,0.0,0.0,0.6944165702694339,0.0,0.0,2.9949678972539897e-16,1.1851301001445704e-16,1.1690294163219132e-16,0.3055834297305668,0.0,0.0
2013-01-07,0.0,2.7453909279170576e-16,0.0,0.6913769315583826,1.5489945625695476e-16,1.601142128208922e-16,1.0108391302175795e-16,1.3409181745480103e-16,6.344982358426847e-17,0.30862306844161663,1.0624034679917645e-16,0.0
2013-01-08,0.0,0.0,0.0,0.5384027963542016,1.8144504143297476e-17,7.331280951604504e-17,0.0,0.0,6.454284730794253e-17,0.46159720364579876,2.850464585668497e-17,0.0
2013-01-09,0.0,8.181228705701886e-17,9.502566786087855e-17,0.5997709030162021,2.7608560589211058e-17,0.0,0.0,5.975269243014404e-17,1.2152602393063327e-16,0.40022909698379766,2.5525265752266276e-16,0.0
2013-01-10,0.0,0.0,0.0,0.876668385247403,4.785462719755722e-17,0.0,2.0205586024957402e-16,0.0,1.9497923764217769e-16,0.12333161475259705,1.2737568685487088e-16,0.0
2013-01-11,9.142128043644718e-16,7.364409319661658e-17,6.263511274112703e-18,0.8392400865235139,9.188547677629679e-17,1.0019034865591852e-16,1.0779132199575947e-16,0.0,8.881785797985295e-16,0.16075991347648422,0.0,0.0
2013-01-14,0.019370074935273547,0.0,0.09020234921304007,0.6461479593677923,0.0,0.0,1.714823461572203e-18,5.736117872099207e-17,2.1713423457911437e-16,0.24427961648389399,3.5064219402761175e-17,0.0
2013-01-15,1.343433721545956e-15,0.0,1.5737371502078378e-16,0.7334969003935203,0.0,0.0,0.0,0.0,0.0,0.266503099606479,0.0,0.0
2013-01-16,1.0044467168822481e-16,1.8673542838677862e-17,0.0,0.6693568126934198,8.40344056212854e-17,1.3211686270550062e-16,3.318018002206795e-17,6.21676310845833e-17,2.1957168689388008e-16,0.33064318730658043,1.2632515612286455e-16,0.0
2013-01-17,0.0,1.465754628505473e-16,6.850007811917176e-17,0.44423084606151364,7.21604344473911e-17,0.0,2.293408658501181e-16,3.4836020087012324e-17,0.0,0.5557691539384857,4.3493303827463014e-16,0.0
2013-01-18,0.0,0.0,8.37306674880747e-17,0.7085427688410308,0.0,0.0,2.063555916381603e-17,0.0,0.09707377963916979,0.1943834515198005,5.2054051990636e-17,0.0
2013-01-22,1.975607728764306e-17,7.800157959385574e-17,0.0,0.7892593965904251,1.3618287774192934e-16,6.433194924709579e-18,0.0,0.0,0.04760512928191941,0.16313547412765556,0.0,0.0
2013-01-23,1.815027452944964e-16,0.0,0.0,0.677034692718274,9.336518191830093e-17,0.0,0.0,1.0007353638121599e-17,7.806833680532094e-16,0.32296530728172523,0.0,0.0
2013-01-24,0.0,0.0,0.0,0.5755365744907966,5.741648652937356e-17,0.0,1.236718217276047e-16,5.139437080313794e-19,1.227457837416705e-16,0.42446342550920324,6.193652628308242e-18,0.0
2013-01-25,9.513561571449519e-17,0.0,0.0,0.6045689816015395,0.0,5.805756746597519e-19,2.080143142656807e-17,3.4828122489123017e-16,0.06532805026263604,0.33010296813582407,3.907191885942318e-17,0.0
2013-01-28,1.5910031647818174e-16,5.633005080749098e-17,0.0,0.4419155779302142,6.7023910098464374e-18,1.098475838033237e-16,0.0,9.604941576288756e-17,0.19373107667965883,0.3643533453901267,4.810296799417992e-17,0.0
2013-01-29,6.822266263215554e-17,0.0,1.0769902901879174e-16,0.3904862120095419,1.523303771448404e-16,0.0,0.0,2.9827295042969355e-16,0.007086153114651926,0.6024276348758059,0.0,0.0
2013-01-30,1.5574088196683898e-17,6.89600722191349e-17,4.735524254075959e-17,0.4161722989533875,0.0,0.0,0.0,5.058827317897553e-16,0.0,0.5838277010466122,0.0,0.0
2013-01-31,0.0,1.3510726060741534e-16,0.0,0.28482373792610516,0.0,7.297219314922422e-17,0.0,0.16255836525743408,6.792395951306757e-17,0.552617896816461,1.842624219079354e-18,0.0
2013-02-01,0.0,0.0,0.0,0.5126167910852646,8.796929060064074e-18,3.5420879920104494e-18,0.0,0.25939735579518236,0.04606217676257195,0.18192367635698153,3.9291379411991966e-17,0.0
2013-02-04,0.0,0.0,0.014448692832105127,0.38432206112142214,0.0,1.0699250664279622e-16,0.0,0.2052686472204454,0.0,0.39596059882602774,0.0,0.0
