,nav
2010-11-29,100000.0
2010-11-30,99545.47488744109
2010-12-01,101262.52744895115
2010-12-02,102358.47384925211
2010-12-03,102699.78600929401
2010-12-06,102702.05139172479
2010-12-07,102758.46910206207
2010-12-08,102696.64331575637
2010-12-09,102946.00701629235
2010-12-10,103592.37039074604
2010-12-13,103631.20869260261
2010-12-14,103740.06899762117
2010-12-15,103252.54955630201
2010-12-16,103834.40661526297
2010-12-17,104051.09626964385
2010-12-20,104423.84050855464
2010-12-21,105023.19752760403
2010-12-22,105375.51570221611
2010-12-23,105259.90730379817
2010-12-27,105409.00721863449
2010-12-28,105495.39724075217
2010-12-29,105677.74808602575
2010-12-30,105639.85856486109
2010-12-31,105530.00675708089
2011-01-03,106617.90278006361
2011-01-04,106236.78054390867
2011-01-05,106704.23028599941
2011-01-06,106293.47449695403
2011-01-07,106174.5051881444
2011-01-10,106112.2041236751
2011-01-11,106334.85473357796
2011-01-12,107099.9701403101
2011-01-13,107009.95045832844
2011-01-14,107512.21941492506
2011-01-18,107782.62088641016
2011-01-19,106564.52207908842
2011-01-20,106320.85608443068
2011-01-21,106445.20957027559
2011-01-24,107063.60449014357
2011-01-25,107208.54433903017
2011-01-26,107917.14106436973
2011-01-27,108132.47231123898
2011-01-28,106366.2298517369
2011-01-31,107120.54674224493
2011-02-01,108612.40253007265
2011-02-02,108348.64105481295
2011-02-03,108676.38045999652
2011-02-04,108787.63973688615
2011-02-07,109415.9785001216
2011-02-08,109867.56812718305
2011-02-09,109609.08612095835
2011-02-10,109839.85319513963
2011-02-11,110469.00768682486
2011-02-14,110709.74424597087
2011-02-15,110388.33128136073
2011-02-16,110939.38767395711
2011-02-17,111323.73765936875
2011-02-18,111374.00865192607
2011-02-22,109430.12862875896
2011-02-23,108609.61988120545
2011-02-24,108464.67692893365
2011-02-25,109825.90299350189
2011-02-28,110617.2469883286
2011-03-01,108866.00920686315
2011-03-02,108967.95778520008
2011-03-03,110602.82475495248
2011-03-04,109903.42127029777
2011-03-07,109085.7514903912
2011-03-08,110111.82764132296
2011-03-09,110020.73993538227
2011-03-10,108230.25283285852
2011-03-11,108872.71432363328
2011-03-14,108241.08828267499
2011-03-15,107292.58511555771
2011-03-16,105633.26294525253
2011-03-17,106717.10884223512
2011-03-18,107303.15534075708
2011-03-21,108695.2246421992
2011-03-22,108438.57053029776
2011-03-23,108654.74276128823
2011-03-24,109453.50387814055
2011-03-25,109911.40053265388
2011-03-28,109740.98320364578
2011-03-29,110448.82025428573
2011-03-30,111439.88882833581
2011-03-31,111496.37425040218
2011-04-01,111990.79322084477
2011-04-04,112132.32922582014
2011-04-05,112247.16944829474
2011-04-06,112399.41695225815
2011-04-07,112062.74484487971
2011-04-08,111600.17467863431
2011-04-11,111257.48652974697
2011-04-12,110492.00096119837
2011-04-13,110563.33947162048
2011-04-14,110871.68894940376
2011-04-15,111508.13383070711
2011-04-18,110297.94496462743
2011-04-19,110845.49495570835
2011-04-20,112177.88118078688
2011-04-21,112737.27824031467
2011-04-25,112639.77192480389
2011-04-26,113618.49068393715
2011-04-27,114335.82311595479
2011-04-28,114817.61850839532
2011-04-29,115006.22596766194
2011-05-02,114710.75549859121
2011-05-03,114289.46009221933
2011-05-04,113515.35270034795
2011-05-05,112777.63047307603
2011-05-06,113133.95198755685
2011-05-09,113779.31579047522
2011-05-10,114863.12307460867
2011-05-11,113731.89326012174
2011-05-12,114231.22953239374
2011-05-13,113356.23672247738
2011-05-16,112781.79294589552
2011-05-17,112661.35103207818
2011-05-18,113685.6669418738
2011-05-19,113943.69263665254
2011-05-20,113277.67751638599
2011-05-23,112042.28848565592
2011-05-24,112086.72586178778
2011-05-25,112507.78402892294
2011-05-26,113082.60942129784
2011-05-27,113630.06928501202
2011-05-31,114706.15021647034
2011-06-01,112359.3094665199
2011-06-02,112125.35234125234
2011-06-03,111114.45628645267
2011-06-06,109929.0683689577
2011-06-07,110050.75512607189
2011-06-08,109613.82412107027
2011-06-09,110180.57529958573
2011-06-10,108691.88955905355
2011-06-13,108694.11743884544
2011-06-14,109993.49942415308
2011-06-15,108394.89213037014
2011-06-16,108508.67084449921
2011-06-17,108888.54183253256
2011-06-20,109576.24014315102
2011-06-21,110997.40869876082
2011-06-22,110461.80312495858
2011-06-23,110056.11756367098
2011-06-24,109199.6326459632
2011-06-27,109917.54693306847
2011-06-28,111208.39873212717
2011-06-29,112063.76393331586
2011-06-30,112912.92428426252
2011-07-01,114392.75058930213
2011-07-05,114405.72366338412
2011-07-06,114691.46704382471
2011-07-07,115774.05332042047
2011-07-08,115178.08250525752
2011-07-11,113237.3169011635
2011-07-12,112971.75708951073
2011-07-13,113227.43197021156
2011-07-14,112324.18362139135
2011-07-15,112896.92701632182
2011-07-18,111903.20568310714
2011-07-19,113510.56725018562
2011-07-20,113577.98059715089
2011-07-21,114846.97527644403
2011-07-22,114886.55867694809
2011-07-25,114175.71873110339
2011-07-26,113759.89829006634
2011-07-27,111639.06978831216
2011-07-28,111274.98802228313
2011-07-29,110707.11222429463
2011-08-01,110265.38659825065
2011-08-02,107524.69844196032
