,nav
2012-11-29,100000.0
2012-11-30,100102.31559469027
2012-12-03,99687.38667687055
2012-12-04,99609.82988953641
2012-12-05,99778.55138036277
2012-12-06,100115.35378503322
2012-12-07,100441.36099554885
2012-12-10,100522.52919794685
2012-12-11,101128.69745544487
2012-12-12,101133.78746647321
2012-12-13,100607.89734386373
2012-12-14,100394.82841596598
2012-12-17,101431.50437851711
2012-12-18,102522.73355629572
2012-12-19,101956.24985125546
2012-12-20,102519.7743788932
2012-12-21,101769.76620648534
2012-12-24,101521.30433464092
2012-12-26,101084.62248188164
2012-12-27,101023.20601560283
2012-12-28,100052.79562094812
2012-12-31,101629.74638020694
2013-01-02,103949.16347087198
2013-01-03,103863.830078312
2013-01-04,104497.44603242673
2013-01-07,104210.5640339777
2013-01-08,103865.63786662364
2013-01-09,104241.73312127407
2013-01-10,104792.68890636491
2013-01-11,104795.8892772008
2013-01-14,104748.24320305571
2013-01-15,104922.65932207092
2013-01-16,104663.71848412575
2013-01-17,105420.98074234706
2013-01-18,105845.89604056203
2013-01-22,106459.6910543534
2013-01-23,106467.05774057731
2013-01-24,106689.0684357933
2013-01-25,107227.66447057166
2013-01-28,107073.72188642532
2013-01-29,107629.22880661985
2013-01-30,107088.97741845182
2013-01-31,106986.00687654612
2013-02-01,107962.23852032683
2013-02-04,106910.68093735134
2013-02-05,107711.28375317613
2013-02-06,107886.88885720364
2013-02-07,107698.3041602601
2013-02-08,108257.07192571199
2013-02-11,108186.169220833
2013-02-12,108460.47561376783
2013-02-13,108574.08116175378
2013-02-14,108479.86716008227
2013-02-15,108417.61725471201
2013-02-19,109185.34786952999
2013-02-20,107803.58817707119
2013-02-21,107123.4369991415
2013-02-22,108133.33347867227
2013-02-25,106264.59903109974
2013-02-26,106888.1499102139
2013-02-27,108119.15602478934
2013-02-28,108098.31143111154
2013-03-01,108252.22921625164
2013-03-04,108799.6888095872
2013-03-05,109737.48574997712
2013-03-06,109870.66723667049
2013-03-07,110047.25493523352
2013-03-08,110596.98004130418
2013-03-11,110864.83404547382
2013-03-12,110698.92719548961
