,nav
2010-11-29,100000.0
2010-11-30,99511.2307235184
2010-12-01,101374.72968684923
2010-12-02,102564.00323535701
2010-12-03,102936.68022752769
2010-12-06,102938.69556089229
2010-12-07,102994.32671249482
2010-12-08,102924.92462702596
2010-12-09,103199.58872331707
2010-12-10,103901.62610802957
2010-12-13,103945.39153873
2010-12-14,104062.53780528616
2010-12-15,103531.09992144282
2010-12-16,104168.53630749065
2010-12-17,104400.38655118007
2010-12-20,104804.22406430707
2010-12-21,105457.57415373527
2010-12-22,105838.17922958036
2010-12-23,105711.2792879327
2010-12-27,105868.39985205974
2010-12-28,105960.98422387338
2010-12-29,106160.56766768868
2010-12-30,106118.49321925543
2010-12-31,105994.65735105527
2011-01-03,107182.47258669588
2011-01-04,106761.03049631219
2011-01-05,107275.04565987345
2011-01-06,106843.83579034437
2011-01-07,106714.86360915865
2011-01-10,106654.83986232002
2011-01-11,106905.71651363232
2011-01-12,107747.23401356643
2011-01-13,107643.5618675988
2011-01-14,108198.67131156064
2011-01-18,108503.86999587598
2011-01-19,107164.56951841545
2011-01-20,106890.86950941198
2011-01-21,107026.66853740244
2011-01-24,107708.71458352292
2011-01-25,107861.28745936982
2011-01-26,108637.70071984317
2011-01-27,108878.39516867592
2011-01-28,106942.45181013834
2011-01-31,107771.46322345932
2011-02-01,109405.69458189077
2011-02-02,109116.65357963374
2011-02-03,109473.94211027458
2011-02-04,109595.55714814177
2011-02-07,110285.66962783189
2011-02-08,110780.71773744508
2011-02-09,110493.23067588078
2011-02-10,110748.8165568085
2011-02-11,111433.23318329801
2011-02-14,111703.22878030819
2011-02-15,111350.306268202
2011-02-16,111957.75721033782
2011-02-17,112380.77024038907
2011-02-18,112439.13207242874
2011-02-22,110319.07786207524
2011-02-23,109435.40108234898
2011-02-24,109276.22274719662
2011-02-25,110755.28977729763
2011-02-28,111611.6994999048
2011-03-01,109706.55018346851
2011-03-02,109831.06051003469
2011-03-03,111615.61164826673
2011-03-04,110850.7496588395
2011-03-07,109967.83158874106
2011-03-08,111073.11874536177
2011-03-09,110982.16400394752
2011-03-10,109011.61998746073
2011-03-11,109718.50653012785
2011-03-14,109034.9352988704
2011-03-15,107995.16197412404
2011-03-16,106194.87596040162
2011-03-17,107381.22990021997
2011-03-18,108011.90605088287
2011-03-21,109531.27409773137
2011-03-22,109249.53426154898
2011-03-23,109486.68967568188
2011-03-24,110346.02107453183
2011-03-25,110846.1444007648
2011-03-28,110655.5881533617
2011-03-29,111431.9125533317
2011-03-30,112515.74646830671
2011-03-31,112573.55765695681
2011-04-01,113119.81712654009
2011-04-04,113276.53096751834
2011-04-05,113400.67513314974
2011-04-06,113564.34354122194
2011-04-07,113195.68696614078
2011-04-08,112686.9091898996
2011-04-11,112295.10600105453
2011-04-12,111450.09100184654
2011-04-13,111530.6102521277
2011-04-14,111860.68041215661
2011-04-15,112554.87951113515
2011-04-18,111224.13813271918
2011-04-19,111834.0283711814
