Date,VAW,VDE,VFH,VIS,VGT,VDC,VPU,VHT,VCR,VNQ,VOX,CASH
2012-11-30,0.0,0.0,0.0,2.4923935781516694e-16,0.0,4.4160610651674044e-17,0.0,0.11568729707825137,0.884312702921749,0.0,9.746033659598918e-17,0.0
2012-12-03,2.7901143504077544e-16,8.477304433229958e-17,3.2134086419296325e-17,0.0,0.0,2.1585881760999308e-16,0.0,0.0,1.0,0.0,0.0,0.0
2012-12-04,2.896331373053107e-16,0.0,3.2903612071487687e-16,1.0998298294717125e-16,1.0508958495116136e-16,0.0,2.0290248249825526e-17,0.004689251605968114,0.9953107483940317,2.215366421478037e-17,0.0,0.0
2012-12-05,1.3980975207045147e-16,0.0,1.0678165060561816e-16,0.4198301179322493,5.76289824936835e-17,7.521831279849001e-16,1.9447209904004118e-16,0.09690128297649205,0.4832685990912578,4.089605227203615e-17,0.0,0.0
2012-12-06,8.430333691805737e-17,0.0,0.0,0.29565559294073634,4.9426669240134175e-17,0.17265749488265575,0.0,0.5316869121766082,1.9815561176454315e-16,0.0,2.777766143966012e-17,0.0
2012-12-07,0.0,0.0,1.4375625327527163e-15,0.4500919460870177,1.275155120260021e-16,0.03641405696245739,5.982816045972007e-17,0.5134939969505239,1.4759316663203942e-16,9.268575372670623e-18,0.0,0.0
2012-12-10,1.335548728270144e-16,0.0,0.0,0.11503113939326294,9.999010466885997e-17,0.7281536095237009,0.0,0.1568152510830372,0.0,2.6219962905150047e-18,0.0,0.0
2012-12-11,1.6373473029977527e-16,0.0,0.0,1.5551544036712994e-16,0.0,0.7161407675400742,0.0,0.2838592324599266,0.0,7.969228029877955e-17,0.0,0.0
2012-12-12,8.967772694085474e-17,0.0,2.4541827903615448e-17,1.9251503849310505e-15,0.0,3.2699537522162814e-16,0.0,0.9999999999999983,2.7922018565377594e-17,0.0,0.0,0.0
2012-12-13,6.3491016383072e-18,1.2829409315791518e-16,9.584872831014938e-17,0.0,3.2792837818266364e-16,0.0,3.228381315535678e-16,0.9999999999999996,6.654669836805261e-16,0.0,6.044115006950591e-16,0.0
