,nav
2017-11-28,100000.0
2017-11-29,100351.18822830447
2017-11-30,101091.89803085737
2017-12-01,100991.17165606098
2017-12-04,101126.49980735187
2017-12-05,100423.19858416775
2017-12-06,100035.87297640751
2017-12-07,100286.50310418059
2017-12-08,100873.08513294393
2017-12-11,101187.58720314165
2017-12-12,101244.58351836067
2017-12-13,101355.85774957691
2017-12-14,100824.26850058425
2017-12-15,101507.31964406035
2017-12-18,102191.97366504803
2017-12-19,101584.83906881027
2017-12-20,101575.14803199284
2017-12-21,101836.23384088212
2017-12-22,101911.98684392487
2017-12-26,101991.21644125818
2017-12-27,102035.23666121221
2017-12-28,102342.72151431748
2017-12-29,101949.76672988893
2018-01-02,102575.25759919785
2018-01-03,102816.62375689582
2018-01-04,103032.22472605121
2018-01-05,103445.56626146808
2018-01-08,103774.33574200651
2018-01-09,103628.9885027333
2018-01-10,103218.98354104624
2018-01-11,104051.22624031873
2018-01-12,104455.88802597413
2018-01-16,103940.916607451
2018-01-17,104734.98945820927
2018-01-18,104329.45436319624
2018-01-19,104882.75696931944
2018-01-22,105757.9544051236
2018-01-23,105964.01460145303
2018-01-24,105925.41817177979
2018-01-25,106088.05467830095
2018-01-26,106832.25781693675
2018-01-29,105978.19399470638
2018-01-30,105028.90488304621
2018-01-31,105174.7302608486
2018-02-01,104874.46513630576
2018-02-02,102757.84264725508
2018-02-05,98991.64268047117
2018-02-06,100121.94965048008
2018-02-07,99744.63693943345
2018-02-08,96489.21137117989
2018-02-09,97659.47398861518
2018-02-12,98881.62358660776
2018-02-13,99135.67862189129
2018-02-14,100072.88572703014
2018-02-15,101301.2319335777
2018-02-16,101503.4541646392
2018-02-20,100610.60015880236
2018-02-21,99805.29448513968
2018-02-22,100001.75813371141
2018-02-23,101640.61776356907
2018-02-26,102465.89112226266
2018-02-27,101014.24252800382
2018-02-28,99851.23280433181
2018-03-01,99121.7886696138
2018-03-02,99555.32410772736
2018-03-05,100738.66435760887
2018-03-06,101023.74009725837
2018-03-07,100967.84054405843
2018-03-08,101310.33416249232
2018-03-09,102645.15660229475
2018-03-12,102595.74387756882
2018-03-13,102138.01243805504
2018-03-14,101620.26575576086
2018-03-15,101329.0454734433
2018-03-16,101765.72485363408
2018-03-19,100585.98794627884
2018-03-20,100537.77719022261
2018-03-21,100637.81442277638
2018-03-22,98597.47395469405
2018-03-23,96838.96529659825
2018-03-26,98794.89379918769
2018-03-27,97802.18088287846
2018-03-28,97817.91606749716
2018-03-29,98917.7131100921
2018-04-02,96828.84164814024
2018-04-03,98008.70250299724
2018-04-04,99023.22883431498
2018-04-05,99882.89924283818
2018-04-06,98066.71184108072
2018-04-09,98272.65708890549
2018-04-10,99793.69677632114
2018-04-11,99512.76882786515
2018-04-12,99819.80025101484
2018-04-13,99787.94024391158
2018-04-16,100768.59107976842
2018-04-17,101709.31149833776
2018-04-18,101925.95313322447
2018-04-19,101262.31736406616
2018-04-20,100532.27398977142
2018-04-23,100543.51870110825
2018-04-24,99649.99198406174
2018-04-25,99917.11697851933
2018-04-26,100592.76703057023
2018-04-27,100843.68409478932
2018-04-30,99900.08873487846
2018-05-01,99788.01267294402
2018-05-02,99315.46053997139
2018-05-03,99098.13832697163
2018-05-04,100217.81749448262
2018-05-07,100431.36301035048
2018-05-08,100140.08722300877
2018-05-09,100834.433194832
2018-05-10,101762.10640434579
2018-05-11,101968.47894043803
2018-05-14,101892.13417280272
2018-05-15,101291.60407849863
2018-05-16,101719.83112352618
2018-05-17,101763.01668280349
2018-05-18,101643.21142295524
2018-05-21,102385.4781858868
2018-05-22,102030.55471076637
2018-05-23,102268.07974868295
2018-05-24,102095.1450923288
2018-05-25,101774.10763657316
2018-05-29,101015.36386719388
2018-05-30,102471.51035240683
2018-05-31,101681.99012539716
2018-06-01,102353.34695397217
2018-06-04,102704.57085049716
2018-06-05,102763.8541288199
2018-06-06,103330.18562261827
2018-06-07,103497.8143330563
