,nav
2013-11-25,100000.0
2013-11-26,100135.71326795785
2013-11-27,100527.2837396261
2013-11-29,100250.31337696823
2013-12-02,99781.90245243267
2013-12-03,99198.09793885842
2013-12-04,98948.19253411714
2013-12-05,98514.14900535096
2013-12-06,99613.52161260537
2013-12-09,99803.01425715524
2013-12-10,99572.09768613108
2013-12-11,98380.70113807687
2013-12-12,97799.38553179822
2013-12-13,97809.71705814385
2013-12-16,98819.0361038863
2013-12-17,98854.45716520326
2013-12-18,100117.56246278621
2013-12-19,100051.86446383623
2013-12-20,101045.48901372729
2013-12-23,101720.48274016172
2013-12-24,102086.14520223293
2013-12-26,102539.34204071037
2013-12-27,102434.26288795982
2013-12-30,102439.29155243243
2013-12-31,102924.31229172109
2014-01-02,101715.8379000392
2014-01-03,101764.6253313677
2014-01-06,101280.22541218967
2014-01-07,102123.88187662898
2014-01-08,102354.08941956297
2014-01-09,102476.21462728696
2014-01-10,102876.20475322215
2014-01-13,101813.25998075407
2014-01-14,103192.28064818126
2014-01-15,103947.45807132653
2014-01-16,103972.53789390001
2014-01-17,103672.74105595931
2014-01-21,104225.87491677454
2014-01-22,104326.6810449811
2014-01-23,103766.84216896132
2014-01-24,101425.25757512239
2014-01-27,100345.18430011816
2014-01-28,100910.8897260721
2014-01-29,100049.5398274721
2014-01-30,101807.39723861004
2014-01-31,101133.66832208294
2014-02-03,98852.29263449741
2014-02-04,99834.62343876777
2014-02-05,99255.053385061
2014-02-06,99690.46615611791
2014-02-07,101400.81365405589
2014-02-10,102221.32248218807
2014-02-11,103421.54335852497
2014-02-12,103485.4041173879
2014-02-13,104410.3579889308
2014-02-14,104648.50947008967
2014-02-18,105432.25505661844
2014-02-19,104775.91976664451
2014-02-20,105186.85798908447
2014-02-21,105152.53042963272
2014-02-24,105457.533774884
2014-02-25,105475.60447114898
2014-02-26,105512.80857389687
2014-02-27,105431.21866420699
2014-02-28,106024.37230309527
2014-03-03,105703.75251831577
2014-03-04,107175.5744406922
2014-03-05,107000.49394624484
2014-03-06,106252.0257293174
2014-03-07,105355.78061202381
2014-03-10,105064.7419366867
2014-03-11,104920.68892725816
2014-03-12,105331.17726045765
2014-03-13,104934.38949927958
2014-03-14,105331.92176797357
2014-03-17,105701.918933502
2014-03-18,105944.6585256495
2014-03-19,104382.6212313134
2014-03-20,104414.13742933617
2014-03-21,104610.73558695415
2014-03-24,104263.02203304916
2014-03-25,104980.3667558554
2014-03-26,104162.67010446674
2014-03-27,104885.58549668945
2014-03-28,105231.59095612461
2014-03-31,106293.9513175733
2014-04-01,105993.27055037134
2014-04-02,105942.33535796084
2014-04-03,106077.88111487008
2014-04-04,106457.19618429018
2014-04-07,106349.06707053418
2014-04-08,107470.25356406992
2014-04-09,107237.17956712905
2014-04-10,106494.14651615129
2014-04-11,106259.78974343202
2014-04-14,106915.39346146937
2014-04-15,108321.32790786879
2014-04-16,109091.23293511702
2014-04-17,108071.40573201088
2014-04-21,108089.18386137857
2014-04-22,108219.50984030828
2014-04-23,108345.5708200089
2014-04-24,108715.21329682217
2014-04-25,109060.07980182981
2014-04-28,109568.25856710164
2014-04-29,109357.25228774777
2014-04-30,109521.82601248498
2014-05-01,109522.83504266343
2014-05-02,108870.86127897294
2014-05-05,109191.78357537625
2014-05-06,108796.78585165227
2014-05-07,109968.55196418491
2014-05-08,108879.10576109804
2014-05-09,108795.81333992124
2014-05-12,109162.0011615618
2014-05-13,109169.80003601931
2014-05-14,108886.9005712497
2014-05-15,107960.86374790617
2014-05-16,108460.36541312486
2014-05-19,108295.78712384471
2014-05-20,107808.02146807875
2014-05-21,108155.5720596808
2014-05-22,108023.11902410233
2014-05-23,108189.38810831809
2014-05-27,108589.50646944232
2014-05-28,108632.0993386608
2014-05-29,109256.4370395374
2014-05-30,109671.50944772176
2014-06-02,109349.98708412578
2014-06-03,109356.62296267434
2014-06-04,109480.3524128825
2014-06-05,110569.42817318931
2014-06-06,110776.29326544159
2014-06-09,110442.75596858199
2014-06-10,110184.908009146
2014-06-11,110287.03437198624
2014-06-12,110366.78682482152
2014-06-13,111218.78834877248
2014-06-16,111436.2630419568
2014-06-17,111423.95755884082
2014-06-18,112373.97109392857
2014-06-19,113148.02689254601
2014-06-20,113729.21865254974
2014-06-23,113729.54188333215
2014-06-24,112259.51923261958
2014-06-25,112612.23048297185
2014-06-26,112653.18339733835
2014-06-27,113003.1190257583
2014-06-30,113130.51242487632
2014-07-01,113180.24839671534
2014-07-02,112754.57611036552
2014-07-03,112939.74586792187
2014-07-07,112327.75269469472
2014-07-08,112279.54864171283
2014-07-09,112770.99182417293
2014-07-10,112379.89826750157
2014-07-11,112156.69437957862
2014-07-14,112808.33487930434
2014-07-15,112299.21240152924
2014-07-16,112929.27609271032
2014-07-17,111761.59560797538
2014-07-18,112800.85580522683
2014-07-21,112597.20091539012
2014-07-22,113262.09560633422
2014-07-23,113453.10551163727
2014-07-24,113457.50336692343
2014-07-25,112847.89151322636
2014-07-28,113131.85050180872
2014-07-29,112675.56950069012
2014-07-30,112767.70687817382
2014-07-31,110594.24320696124
2014-08-01,110153.69120587362
2014-08-04,110889.2704504709
2014-08-05,110053.06138861827
2014-08-06,109880.04720488732
2014-08-07,109366.32541026754
2014-08-08,110093.18128603941
2014-08-11,110831.36440961626
2014-08-12,110581.52761915565
2014-08-13,111785.30601376134
2014-08-14,111942.97638711202
2014-08-15,112045.65467770718
2014-08-18,113141.06641329317
2014-08-19,113859.23093092458
2014-08-20,113928.04814134502
2014-08-21,114212.35391112644
2014-08-22,114079.3984516074
2014-08-25,114234.47208244304
2014-08-26,114587.92882729736
2014-08-27,114422.38667866915
2014-08-28,114187.97971825485
2014-08-29,114828.63018631648
2014-09-02,115008.4360553402
2014-09-03,114648.08951927979
2014-09-04,114139.24127596267
2014-09-05,114951.0949234681
2014-09-08,115008.25954592795
2014-09-09,114294.91090376175
2014-09-10,114263.06802696637
2014-09-11,114225.85840234575
2014-09-12,113207.7792151479
2014-09-15,112445.19289020811
2014-09-16,113581.64201536216
2014-09-17,113744.25247136224
2014-09-18,114567.86504903724
2014-09-19,114275.4178928019
2014-09-22,113365.248411845
2014-09-23,112848.95191667175
2014-09-24,114374.39349711679
2014-09-25,112512.58421611723
2014-09-26,112837.86155618196
2014-09-29,112761.30093046762
2014-09-30,111909.94333352924
2014-10-01,110762.08418701081
2014-10-02,110628.16972253844
2014-10-03,112713.46451031328
2014-10-06,112196.92746450558
2014-10-07,110436.83263940846
2014-10-08,113124.77690725875
2014-10-09,110867.30023838556
2014-10-10,109939.39061322027
2014-10-13,107716.01845309169
2014-10-14,107491.70255085606
2014-10-15,106069.57769258875
2014-10-16,106276.02362934854
2014-10-17,106952.67840235555
2014-10-20,108466.46545629838
2014-10-21,109010.14633458464
2014-10-22,108944.97909606685
2014-10-23,109061.78699176504
2014-10-24,109927.05880730429
2014-10-27,109989.9958447624
2014-10-28,110691.54767104065
2014-10-29,110376.73807992025
2014-10-30,111964.7053747361
2014-10-31,112179.43143460486
2014-11-03,112684.06263835193
2014-11-04,112497.08307806033
2014-11-05,113808.9580326561
2014-11-06,113027.90359286277
2014-11-07,113410.2682887512
2014-11-10,113955.67166660071
2014-11-11,113643.30039551911
2014-11-12,112879.51326832449
2014-11-13,112965.18903628021
2014-11-14,112353.85630546355
2014-11-17,113043.44078999214
2014-11-18,113525.3186305102
2014-11-19,113842.7370672643
2014-11-20,113430.83670693552
2014-11-21,113965.42616997627
2014-11-24,113759.69895848048
2014-11-25,113967.39796784197
2014-11-26,114437.61429144924
2014-11-28,115633.3962206304
2014-12-01,115043.1939928518
2014-12-02,115417.91888750884
2014-12-03,114876.15197523791
2014-12-04,114790.62024321621
2014-12-05,114693.15606083706
2014-12-08,114702.93024504285
2014-12-09,114926.14027699658
2014-12-10,114285.16225366472
2014-12-11,114686.72268704073
2014-12-12,113559.55698591286
2014-12-15,112178.98158799885
2014-12-16,111989.95892366928
2014-12-17,114521.8874891039
2014-12-18,115501.17902206392
