,nav
2019-11-25,100000.0
2019-11-26,99964.37818380108
2019-11-27,100414.09440167424
2019-11-29,100183.75977623575
2019-12-02,99505.0748233933
2019-12-03,98874.31044535509
2019-12-04,99746.81751800164
2019-12-05,99647.58851651118
2019-12-06,100417.07587640944
2019-12-09,99800.94937182411
2019-12-10,99874.30270541407
2019-12-11,99967.1774492127
2019-12-12,100685.69861903333
2019-12-13,100840.55480760973
2019-12-16,101779.72884203399
2019-12-17,101660.89420771522
2019-12-18,101723.30187314871
2019-12-19,102166.83810075739
2019-12-20,102824.32156291038
2019-12-23,103308.69587873977
2019-12-24,103373.48003669025
2019-12-26,103321.59401587815
2019-12-27,103283.1824156446
2019-12-30,102653.90054902574
2019-12-31,102886.63355875522
2020-01-02,103294.5212930117
2020-01-03,102451.04822599633
2020-01-06,102800.7844109565
2020-01-07,102397.40409455665
2020-01-08,103007.91040560354
2020-01-09,103655.75360365349
2020-01-10,103497.5974151509
2020-01-13,103873.62258418195
2020-01-14,103974.43962756284
2020-01-15,104508.37402351246
2020-01-16,105298.48654280808
2020-01-17,105525.95168441122
2020-01-21,105528.97945923386
2020-01-22,105732.36161369439
2020-01-23,105714.73583230315
2020-01-24,104756.21689900462
2020-01-27,103298.54584051234
2020-01-28,104446.33974695475
2020-01-29,104511.37325269142
2020-01-30,105081.44663901218
2020-01-31,103234.12323341133
2020-02-03,104026.18471504062
2020-02-04,104562.04756804384
2020-02-05,105212.8750833801
2020-02-06,105374.05592954814
2020-02-07,104805.24561534336
2020-02-10,105459.38119372765
2020-02-11,105871.30750041122
2020-02-12,106337.72711401575
2020-02-13,106901.17882254432
2020-02-14,107318.32691280448
2020-02-18,107766.85892923354
2020-02-19,107489.63314358062
2020-02-20,107595.45132342515
2020-02-21,106691.65220929276
2020-02-24,104274.39477119056
2020-02-25,101840.72112492587
2020-02-26,100801.40103712451
2020-02-27,96156.02265193239
2020-02-28,92888.66996004852
2020-03-02,97764.70336404262
2020-03-03,94917.72434892293
2020-03-04,99486.20504084142
2020-03-05,97601.09765656394
2020-03-06,96797.15082361222
2020-03-09,91413.3141641036
2020-03-10,92477.68012029008
2020-03-11,87689.65399339717
2020-03-12,78564.57694952791
2020-03-13,87217.65411596633
2020-03-16,75455.21077843002
2020-03-17,80002.12135722647
2020-03-18,76838.1031684809
2020-03-19,73203.6145975677
2020-03-20,70256.68021932806
2020-03-23,69633.53575234106
2020-03-24,76871.3102893828
2020-03-25,76908.83133542787
2020-03-26,81661.45933413158
2020-03-27,78050.08404067863
2020-03-30,80945.54517875002
2020-03-31,77763.07457627969
2020-04-01,73113.74433257598
2020-04-02,74931.21567614503
2020-04-03,72273.89136753508
2020-04-06,75062.82507657011
2020-04-07,74274.88173159356
2020-04-08,75937.36241638151
2020-04-09,79583.45816010857
2020-04-13,77061.51687126205
2020-04-14,79202.77961611631
2020-04-15,76371.55309293307
2020-04-16,78108.1324594126
2020-04-17,79988.372324964
2020-04-20,79595.44239690277
2020-04-21,77089.8696554159
2020-04-22,78327.86796254618
2020-04-23,78839.12350019786
2020-04-24,80060.20609128076
2020-04-27,81179.89988950585
2020-04-28,79443.34162371162
2020-04-29,80233.4497511407
2020-04-30,79612.33701226485
2020-05-01,78006.73663299296
2020-05-04,78247.5868885483
2020-05-05,79895.43787334893
2020-05-06,79358.81227840704
2020-05-07,79477.13085443579
2020-05-08,79967.27163966575
2020-05-11,81572.85091825233
2020-05-12,80279.9345608526
2020-05-13,79236.28763244221
2020-05-14,79916.5455922089
2020-05-15,80829.19946628812
2020-05-18,81703.82990545998
2020-05-19,80668.66545253946
2020-05-20,80930.63046051655
2020-05-21,80171.85771372057
2020-05-22,80428.69434202267
2020-05-26,80369.35892593065
2020-05-27,81036.47264509668
2020-05-28,81563.6123374304
2020-05-29,82533.292071363
2020-06-01,82118.22828214217
2020-06-02,82903.05295115188
2020-06-03,84299.03115281701
2020-06-04,83888.35078173543
2020-06-05,86378.0639598178
2020-06-08,88915.75435253841
2020-06-09,87318.80462514752
2020-06-10,85966.87693165643
2020-06-11,81035.24037858748
2020-06-12,82001.23979612507
2020-06-15,83059.05865056609
2020-06-16,84685.95032235165
2020-06-17,84563.81567379514
2020-06-18,84260.31716575568
2020-06-19,83825.22154451862
2020-06-22,84475.87209461315
2020-06-23,85294.5284264205
2020-06-24,83036.0623506642
2020-06-25,83247.48401851827
2020-06-26,81467.36727522686
2020-06-29,82982.51500369946
2020-06-30,84384.43031893473
2020-07-01,85297.67076110515
2020-07-02,85858.37585933489
2020-07-06,88196.44476529992
2020-07-07,86938.16600626333
2020-07-08,88061.93567058952
2020-07-09,88084.67183138752
2020-07-10,88974.86946368852
2020-07-13,87288.61428553634
2020-07-14,88236.62447336754
2020-07-15,89511.92066401186
2020-07-16,88982.22541784459
2020-07-17,88843.79112023077
2020-07-20,90851.363211797
2020-07-21,90461.41710058831
2020-07-22,91180.1058249192
2020-07-23,89358.1816989623
2020-07-24,88649.10732696584
2020-07-27,89938.09688212094
2020-07-28,88795.68948128498
2020-07-29,90194.55481306495
2020-07-30,90189.12962602421
2020-07-31,90585.07993693082
2020-08-03,91319.36778207515
2020-08-04,91918.75475447545
2020-08-05,92800.15217440862
2020-08-06,93330.67610308777
2020-08-07,92801.11444464228
2020-08-10,93173.44303352114
2020-08-11,92530.79770692691
2020-08-12,94096.98742419563
2020-08-13,94354.70174420085
2020-08-14,94409.02616286196
2020-08-17,95713.36855428581
2020-08-18,96255.91191660741
2020-08-19,95739.07493947525
2020-08-20,96077.09182316113
2020-08-21,96704.96988431505
2020-08-24,97705.47726242461
2020-08-25,98005.33061149676
2020-08-26,99472.98004074897
2020-08-27,99382.84298236408
2020-08-28,100100.8107437244
2020-08-31,100320.10710492457
2020-09-01,101845.71432586976
2020-09-02,102579.10051587984
2020-09-03,98252.78555765253
2020-09-04,97400.78149162917
2020-09-08,94961.9637623577
2020-09-09,96783.43058593251
2020-09-10,95759.07452372606
2020-09-11,95823.55931141559
2020-09-14,97235.77215556186
2020-09-15,97959.76305641342
2020-09-16,97487.04557433215
2020-09-17,96699.85801261017
2020-09-18,95440.67554482113
2020-09-21,93087.65229152257
2020-09-22,94309.71597280986
2020-09-23,92269.9297921638
2020-09-24,92479.24912752215
2020-09-25,93585.12955658691
2020-09-28,95255.3928466256
2020-09-29,94545.54244577799
2020-09-30,95217.26509381726
2020-10-01,96396.1205716726
2020-10-02,96023.34631533963
2020-10-05,97390.10504206963
2020-10-06,96229.90117378313
2020-10-07,98144.03671896993
2020-10-08,99055.68268799974
2020-10-09,99623.4055028842
2020-10-12,100597.13766755394
2020-10-13,100423.22672795002
2020-10-14,100047.1216122846
2020-10-15,100340.40739524999
2020-10-16,99996.68539593802
2020-10-19,98764.49481840132
2020-10-20,99260.4702510726
2020-10-21,98572.69702142435
2020-10-22,99141.53500193462
2020-10-23,99745.72657389664
2020-10-26,97886.74666510242
2020-10-27,97285.21022438924
2020-10-28,94347.38965020173
2020-10-29,94792.15290283828
2020-10-30,93066.78700417411
2020-11-02,94809.12306335513
2020-11-03,96450.62674404997
2020-11-04,95791.72777504259
2020-11-05,97446.77816058636
2020-11-06,97215.07411697126
2020-11-09,97998.11292933873
2020-11-10,99267.16555493284
2020-11-11,99239.92402106641
2020-11-12,97740.24296023963
2020-11-13,99127.99301479911
2020-11-16,100678.53027951688
2020-11-17,99474.93332865737
2020-11-18,98317.9753945927
2020-11-19,98222.82361855813
2020-11-20,97791.53368856388
2020-11-23,98764.33404565044
2020-11-24,100469.65481190325
2020-11-25,99815.41011620642
2020-11-27,99300.72262867514
2020-11-30,97889.81534439897
2020-12-01,97970.40859246775
2020-12-02,98012.05240678944
2020-12-03,98183.57475544044
2020-12-04,99065.44931414344
2020-12-07,98988.58120215381
2020-12-08,99138.60733731184
2020-12-09,98609.41909546075
2020-12-10,98566.70524014498
2020-12-11,98674.15307238522
2020-12-14,97935.26504565001
2020-12-15,99173.89881230978
2020-12-16,99090.23391853303
2020-12-17,99426.51879203216
2020-12-18,98889.772014476
2020-12-21,98803.27810179419
2020-12-22,98288.6720455744
2020-12-23,99131.40711926234
2020-12-24,99223.03022847259
2020-12-28,99941.90265013969
2020-12-29,99640.78272402295
2020-12-30,99661.98976841461
2020-12-31,100312.26075096501
