,nav
2015-11-27,100000.0
2015-11-30,99658.43704881595
2015-12-01,100528.5557303254
2015-12-02,99195.21741963926
2015-12-03,97877.76087873048
2015-12-04,99414.331505385
2015-12-07,98634.65041565252
2015-12-08,98048.54164399553
2015-12-09,97643.50657886184
2015-12-10,97635.78262711194
2015-12-11,95872.27992396987
2015-12-14,96058.26570843387
2015-12-15,97105.87820753927
2015-12-16,98618.42237102288
2015-12-17,97335.82136334904
2015-12-18,95833.26216741672
2015-12-21,96448.1171679848
2015-12-22,97384.07828363687
2015-12-23,98899.86017329336
2015-12-24,98756.53169364772
2015-12-28,98482.55569009921
2015-12-29,99428.1585555729
2015-12-30,98699.2470987486
2015-12-31,97874.14398872331
2016-01-04,96581.31415270487
2016-01-05,97012.74257686327
2016-01-06,95774.09953571478
2016-01-07,93652.66973419834
2016-01-08,92655.8731254054
2016-01-11,92570.00617840674
2016-01-12,92846.43920660982
2016-01-13,90796.27042189485
2016-01-14,92132.96954738212
2016-01-15,90430.48103011934
2016-01-19,90332.1438059033
2016-01-20,89100.13492399832
2016-01-21,89654.41071041132
2016-01-22,91735.52598098008
2016-01-25,90219.13523563633
2016-01-26,91808.07879649806
2016-01-27,90962.32225415642
2016-01-28,91421.4438283585
2016-01-29,93643.52023458375
2016-02-01,93665.1714423587
2016-02-02,92162.71853236775
2016-02-03,93075.50948102237
2016-02-04,93412.48262578262
2016-02-05,91870.79881977127
2016-02-08,90419.01562175392
2016-02-09,90112.896800418
2016-02-10,90117.43184600378
2016-02-11,89080.8874599182
2016-02-12,90662.99854886915
2016-02-16,92092.18338572935
2016-02-17,93515.83661413638
2016-02-18,93380.40416266177
2016-02-19,93255.87330152137
2016-02-22,94571.18602776052
2016-02-23,93585.53188020532
2016-02-24,94136.88626777624
2016-02-25,95175.79756392319
2016-02-26,95075.44379998345
2016-02-29,94604.25969228272
2016-03-01,96486.7219524769
2016-03-02,97206.6059806371
2016-03-03,97781.54740045957
2016-03-04,98210.8743761265
2016-03-07,98704.77136645756
2016-03-08,97428.94176727948
2016-03-09,97930.0269254451
2016-03-10,97874.89370748475
